Congress,Majority, votenum, min_vote,maj_vote,if_partisan,case_num,bill_num,vote_name, bill_name,more,more1 
116, rep, 1, 6, 1, 1,0, S1, Cloture on the Motion to Proceed Rejected, A bill to make improvements to certain defense and security assistance provisions and to authorize the appropriation of funds to Israel; to reauthorize the United States-Jordan Defense Cooperation Act of 2015; and to halt the wholesale slaughter of the Syrian people; and for other purposes., On Cloture on the Motion to Proceed, nan
116, rep, 2, 6, 1, 1,0, S1, Cloture on the Motion to Proceed Rejected, A bill to make improvements to certain defense and security assistance provisions and to authorize the appropriation of funds to Israel; to reauthorize the United States-Jordan Defense Cooperation Act of 2015; and to halt the wholesale slaughter of the Syrian people; and for other purposes., On Cloture on the Motion to Proceed, nan
116, rep, 3, 6, 1, 1,0, S1, Cloture on the Motion to Proceed Rejected, A bill to make improvements to certain defense and security assistance provisions and to authorize the appropriation of funds to Israel; to reauthorize the United States-Jordan Defense Cooperation Act of 2015; and to halt the wholesale slaughter of the Syrian people; and for other purposes., On Cloture on the Motion to Proceed, nan
116, rep, 4, 6, 1, 1,0, SJRES2, Motion to Table Failed, A joint resolution disapproving the President's proposal to take an action relating to the application of certain sanctions with respect to the Russian Federation., On the Motion to Table, nan
116, rep, 5, 1, 6, 1,3, SJRES2, Motion to Proceed Agreed to, A joint resolution disapproving the President's proposal to take an action relating to the application of certain sanctions with respect to the Russian Federation., On the Motion to Proceed, nan
116, rep, 6, 1, 6, 1,3, SJRES2, Cloture Motion Rejected, A joint resolution disapproving the President's proposal to take an action relating to the application of certain sanctions with respect to the Russian Federation., On the Cloture Motion, nan
116, rep, 7, 6, 1, 1,0, S109, Cloture on the Motion to Proceed Rejected, A bill to prohibit taxpayer funded abortions., On Cloture on the Motion to Proceed, nan
116, rep, 8, 1, 1, 0,1, HR268, Motion for Attendance Agreed to, A bill making supplemental appropriations for the fiscal year ending September 30; 2019; and for other purposes., On the Motion for Attendance, nan
116, rep, 9, 6, 1, 1,0, HR268, Cloture Motion Rejected, Of a perfecting nature., On the Cloture Motion, nan
116, rep, 10, 1, 6, 1,0, HR268, Cloture Motion Rejected, Of a perfecting nature., On the Cloture Motion, nan
116, rep, 11, 1, 1, 0,1, S1, Cloture on the Motion to Proceed Agreed to, A bill to make improvements to certain defense and security assistance provisions and to authorize the appropriation of funds to Israel; to reauthorize the United States-Jordan Defense Cooperation Act of 2015; and to halt the wholesale slaughter of the Syrian people; and for other purposes., On Cloture on the Motion to Proceed, nan
116, rep, 12, 1, 1, 0,1, S1, Motion to Proceed Agreed to, A bill to make improvements to certain defense and security assistance provisions and to authorize the appropriation of funds to Israel; to reauthorize the United States-Jordan Defense Cooperation Act of 2015; and to halt the wholesale slaughter of the Syrian people; and for other purposes., On the Motion to Proceed, nan
116, rep, 13, 1, 1, 0,1, S1, Cloture Motion Agreed to, To express the sense of the Senate that the United States faces continuing threats from terrorist groups operating in Syria and Afghanistan and that the precipitous withdrawal of United States forces from either country could put at risk hard-won gains and United States national security., On the Cloture Motion, nan
116, rep, 14, 1, 1, 0,1, S1, Amendment Agreed to, To express the sense of the Senate that the United States faces continuing threats from terrorist groups operating in Syria and Afghanistan and that the precipitous withdrawal of United States forces from either country could put at risk hard-won gains and United States national security., On the Amendment, nan
116, rep, 15, 1, 1, 0,0, S1, Cloture Motion Agreed to, A bill to make improvements to certain defense and security assistance provisions and to authorize the appropriation of funds to Israel; to reauthorize the United States-Jordan Defense Cooperation Act of 2015; and to halt the wholesale slaughter of the Syrian people; and for other purposes., On the Cloture Motion, nan
116, rep, 16, 1, 1, 0,1, S1, Bill Passed, A bill to make improvements to certain defense and security assistance provisions and to authorize the appropriation of funds to Israel; to reauthorize the United States-Jordan Defense Cooperation Act of 2015; and to halt the wholesale slaughter of the Syrian people; and for other purposes., On Passage of the Bill, nan
116, rep, 17, 1, 1, 0,1, S47, Cloture on the Motion to Proceed Agreed to, A bill to provide for the management of the natural resources of the United States; and for other purposes., On Cloture on the Motion to Proceed, nan
116, rep, 18, 1, 6, 1,3, S47, Motion to Table Agreed to, To modify the provision relating to the Land and Water Conservation Fund to impose certain requirements on the Federal acquisition of land and to require an allocation of funds for the deferred maintenance backlog., On the Motion to Table, nan
116, rep, 19, 1, 6, 1,3, S47, Motion to Table Agreed to, To modify the authorization period of the Land and Water Conservation Fund., On the Motion to Table, nan
116, rep, 20, 1, 6, 1,3, S47, Motion to Table Agreed to, To limit the extension or establishment of national monuments in the State of Utah., On the Motion to Table, nan
116, rep, 21, 1, 1, 0,1, S47, Cloture Motion Agreed to, A bill to provide for the management of the natural resources of the United States; and for other purposes., On the Cloture Motion, nan
116, rep, 22, 1, 1, 0,1, S47, Bill Passed, A bill to provide for the management of the natural resources of the United States; and for other purposes., On Passage of the Bill, nan
116, rep, 23, 6, 1, 1,0, PN17, Cloture Motion Agreed to, William Pelham Barr; of Virginia; to be Attorney General, On the Cloture Motion, nan
116, rep, 24, 6, 1, 1,0, PN17, Nomination Confirmed, William Pelham Barr; of Virginia; to be Attorney General, On the Nomination, nan
116, rep, 25, 1, 1, 0,1, HJRES31, Cloture Motion Agreed to, A joint resolution making further continuing appropriations for the Department of Homeland Security for fiscal year 2019; and for other purposes., On the Cloture Motion, nan
116, rep, 26, 1, 1, 0,1, HJRES31, Conference Report Agreed to, A joint resolution making further continuing appropriations for the Department of Homeland Security for fiscal year 2019; and for other purposes., On the Conference Report, nan
116, rep, 27, 6, 1, 1,0, S311, Cloture on the Motion to Proceed Rejected, A bill to amend title 18; United States Code; to prohibit a health care practitioner from failing to exercise the proper degree of care in the case of a child who survives an abortion or attempted abortion., On Cloture on the Motion to Proceed, nan
116, rep, 28, 6, 1, 1,0, PN239, Cloture Motion Agreed to, Eric D. Miller; of Washington; to be United States Circuit Judge for the Ninth Circuit, On the Cloture Motion, nan
116, rep, 29, 6, 1, 1,0, PN239, Nomination Confirmed, Eric D. Miller; of Washington; to be United States Circuit Judge for the Ninth Circuit, On the Nomination, nan
116, rep, 30, 1, 1, 0,1, PN89, Cloture Motion Agreed to, Michael J. Desmond; of California; to be Chief Counsel for the Internal Revenue Service and an Assistant General Counsel in the Department of the Treasury, On the Cloture Motion, nan
116, rep, 31, 1, 1, 0,1, PN89, Nomination Confirmed, Michael J. Desmond; of California; to be Chief Counsel for the Internal Revenue Service and an Assistant General Counsel in the Department of the Treasury, On the Nomination, nan
116, rep, 32, 6, 1, 1,0, PN22, Cloture Motion Agreed to, Andrew Wheeler; of Virginia; to be Administrator of the Environmental Protection Agency, On the Cloture Motion, nan
116, rep, 33, 6, 1, 1,0, PN22, Nomination Confirmed, Andrew Wheeler; of Virginia; to be Administrator of the Environmental Protection Agency, On the Nomination, nan
116, rep, 34, 6, 1, 1,0, PN251, Cloture Motion Agreed to, Allison Jones Rushing; of North Carolina; to be United States Circuit Judge for the Fourth Circuit, On the Cloture Motion, nan
116, rep, 35, 6, 1, 1,0, PN251, Nomination Confirmed, Allison Jones Rushing; of North Carolina; to be United States Circuit Judge for the Fourth Circuit, On the Nomination, nan
116, rep, 36, 6, 1, 1,0, PN248, Cloture Motion Agreed to, Chad A. Readler; of Ohio; to be United States Circuit Judge for the Sixth Circuit, On the Cloture Motion, nan
116, rep, 37, 6, 1, 1,0, PN248, Nomination Confirmed, Chad A. Readler; of Ohio; to be United States Circuit Judge for the Sixth Circuit, On the Nomination, nan
116, rep, 38, 6, 1, 1,0, PN242, Cloture Motion Agreed to, Eric E. Murphy; of Ohio; to be United States Circuit Judge for the Sixth Circuit, On the Cloture Motion, nan
116, rep, 39, 6, 1, 1,0, PN242, Nomination Confirmed, Eric E. Murphy; of Ohio; to be United States Circuit Judge for the Sixth Circuit, On the Nomination, nan
