congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,Average,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
106,President,99909,99,0,USA,100,0.413533835,0,"CLINTON, William Jefferson (Bill)",,1946,,-0.438,0.033,-44.00832,0.743,148,17,,,
106,House,15090,41,1,AL,200,0.48573898,1,"CALLAHAN, Herbert Leon (Sonny)",C000052,1932,,0.373,0.202,-156.97696,0.83,842,61,,0.29,0.263
106,House,29100,41,5,AL,100,0.659646167,1,"CRAMER, Robert E. (Bud), Jr.",C000868,1947,,-0.132,0.612,-241.9535,0.755,861,102,,-0.124,0.54
106,House,29300,41,2,AL,200,0.45091225,1,"EVERETT, Robert Terry",E000268,1937,,0.414,0.528,-120.12012,0.866,834,43,,0.447,0.563
106,House,29301,41,6,AL,200,0.490360436,1,"BACHUS, Spencer T., III",B000013,1947,,0.387,0.228,-197.21883,0.796,863,83,,0.305,0.103
106,House,29302,41,7,AL,100,0.451724138,1,"HILLIARD, Earl Frederick",H000621,1942,,-0.555,0.569,-217.22676,0.773,845,83,,-0.575,0.651
106,House,29700,41,3,AL,200,0.45025729,1,"RILEY, Robert",R000258,1944,,0.433,0.692,-170.65206,0.818,848,73,,0.445,0.578
106,House,29701,41,4,AL,200,0.45561139,1,"ADERHOLT, Robert",A000055,1965,,0.369,0.59,-245.39366,0.75349,867,107,,0.38,0.845
106,House,14066,81,1,AK,200,0.476415094,1,"YOUNG, Donald Edwin",Y000033,1933,,0.284,0.022,-171.99665,0.79555,752,73,,0.295,0.181
106,House,14454,61,3,AZ,200,0.42087821,1,"STUMP, Robert Lee",S001044,1927,2003,0.703,0.203,-164.0391,0.829,872,61,,0.592,0.418
106,House,15105,61,5,AZ,200,0.502983802,1,"KOLBE, James Thomas",K000306,1942,,0.351,-0.534,-249.04748,0.746,849,128,,0.329,-0.451
106,House,29101,61,2,AZ,100,0.492910759,1,"PASTOR, Ed",P000099,1943,,-0.421,0.12,-242.76436,0.756,868,91,,-0.407,0.122
106,House,29500,61,1,AZ,200,0.419928826,1,"SALMON, Matthew James",S000018,1958,,0.673,-0.272,-194.71581,0.785,806,70,,0.652,-0.173
106,House,29501,61,4,AZ,200,0.409322034,1,"SHADEGG, John B.",S000275,1949,,0.749,0.008,-175.95062,0.813,852,61,,0.705,0.043
106,House,29502,61,6,AZ,200,0.422723475,1,"HAYWORTH, John D., Jr.",H000413,1958,,0.559,-0.018,-145.88973,0.845,864,57,,0.594,0.085
106,House,29307,42,4,AR,200,0.470844212,1,"DICKEY, Jay W., Jr.",D000312,1939,,0.391,0.22,-224.39934,0.761,822,91,,0.376,0.427
106,House,29702,42,1,AR,100,0.605042017,1,"BERRY, Robert Marion",B000420,1942,,-0.293,0.956,-332.4931,0.679,859,167,,-0.206,0.757
106,House,29703,42,2,AR,100,0.534005038,1,"SNYDER, Victor F.",S000672,1947,,-0.268,0.055,-207.9134,0.784,856,87,,-0.292,0.019
106,House,29704,42,3,AR,200,0.467353952,1,"HUTCHINSON, Asa",H001014,1950,,0.358,0.133,-199.59853,0.789,841,85,,0.39,0.109
106,House,10573,71,42,CA,100,0.550561798,1,"BROWN, George Edward, Jr.",B000918,1920,1999,-0.506,-0.028,-10.73244,0.81,51,7,,-0.47,0.491
106,House,14053,71,13,CA,100,0.396139706,1,"STARK, Fortney Hillman (Pete), Jr.",S000810,1931,,-0.631,-0.605,-208.21998,0.765,779,90,,-0.738,-0.609
106,House,14256,71,7,CA,100,0.391380827,1,"MILLER, George",M000725,1945,,-0.552,-0.398,-253.92442,0.739,838,115,,-0.641,-0.24
106,House,14280,71,29,CA,100,0.430683919,1,"WAXMAN, Henry Arnold",W000215,1939,,-0.473,-0.343,-132.07487,0.847,796,57,,-0.493,-0.518
106,House,14620,71,32,CA,100,0.494827586,1,"DIXON, Julian Carey",D000373,1934,2000,-0.458,-0.076,-146.94598,0.836,823,54,,-0.414,-0.167
106,House,14644,71,40,CA,200,0.515852614,1,"LEWIS, Charles Jeremy (Jerry)",L000274,1934,,0.348,-0.101,-220.42523,0.768,837,92,,0.256,0.025
106,House,14649,71,5,CA,100,0.493220339,1,"MATSUI, Robert T.",M000249,1941,2005,-0.404,-0.03,-142.45609,0.847,855,46,,-0.39,-0.149
106,House,14669,71,21,CA,200,0.486038394,1,"THOMAS, William Marshall",T000188,1941,,0.371,-0.277,-193.11265,0.792,826,78,,0.361,-0.131
106,House,14813,71,28,CA,200,0.479270315,1,"DREIER, David Timothy",D000492,1952,,0.478,-0.084,-181.19426,0.812,871,81,,0.406,-0.109
