congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc
115,House,1,03-01-17,1,2,239,194,-0.146,0.989,-0.486,-0.439,-6.564,,Ryan (WI),,Election of the Speaker,
115,House,2,03-01-17,1,3,228,184,0.017,0.047,-0.715,0.118,-0.255,HRES5,Passed,Adopting rules for the One Hundred Fifteenth Congress,Table Motion to Refer,
115,House,3,03-01-17,1,4,237,193,0.016,0.045,-0.715,0.12,-0.258,HRES5,Passed,Adopting rules for the One Hundred Fifteenth Congress,On Ordering the Previous Question,
115,House,4,03-01-17,1,5,193,236,0.016,0.045,0.715,-0.12,-0.258,HRES5,Failed,Adopting rules for the One Hundred Fifteenth Congress,Motion to Commit,
115,House,5,03-01-17,1,6,234,193,-0.198,0.98,-0.482,-0.638,-11.704,HRES5,Passed,Adopting rules for the One Hundred Fifteenth Congress,On Agreeing to the Resolution,
115,House,6,04-01-17,1,7,183,236,-0.057,-0.011,0.717,-0.096,-2.089,HR21,Failed,Midnight Rules Relief Act of 2017,On Motion to Recommit with Instructions,
115,House,7,04-01-17,1,8,238,184,-0.1,0.129,-0.619,-0.862,-5.21,HR21,Passed,Midnight Rules Relief Act of 2017,On Passage,
115,House,8,05-01-17,1,9,235,188,0.246,-0.969,-0.461,-0.525,-12.894,HRES22,Passed,"Providing for consideration of the bill (H.R. 26) Regulations from the Executive in Need of Scrutiny Act, and providing for consideration of the resolution (H.Res. 11) objecting to United Nations Security Council Resolution 2334 as an obstacle to Israeli-Palestinian peace, and for other purposes",On Ordering the Previous Question,
115,House,9,05-01-17,1,10,231,187,-0.013,0.592,-0.688,-0.517,-3.712,HRES22,Passed,"Providing for consideration of the bill (H.R. 26) Regulations from the Executive in Need of Scrutiny Act, and providing for consideration of the resolution (H.Res. 11) objecting to United Nations Security Council Resolution 2334 as an obstacle to Israeli-Palestinian peace, and for other purposes",On Agreeing to the Resolution,
115,House,10,05-01-17,1,11,342,80,-0.263,-0.438,-0.144,-0.433,-125.116,HRES11,Passed,"Objecting to United Nations Security Council Resolution 2334 as an obstacle to Israeli-Palestinian peace, and for other purposes",On Agreeing to the Resolution,
115,House,11,05-01-17,1,12,235,185,-0.031,0.108,-0.662,-0.644,-1.803,HR26,Agreed to,,On Agreeing to the Amendment,
115,House,12,05-01-17,1,13,193,230,0.228,-0.382,0.657,1.05,-21.065,HR26,Failed,,On Agreeing to the Amendment,
115,House,13,05-01-17,1,14,190,233,0.124,0.992,0.385,-0.143,-14.029,HR26,Failed,,On Agreeing to the Amendment,
115,House,14,05-01-17,1,15,186,232,-0.031,0.113,0.663,0.64,-1.812,HR26,Failed,,On Agreeing to the Amendment,
