State,CD,Member,Party,D3,R3,D2,R2,D1,R1
AK,AL,"Young, Don",(R),38,59,36,61,28,59
AL,1,Bonner,(R),39,61,35,64,38,60
AL,2,Roby,(R),36,63,33,67,38,61
AL,3,"Rogers, Mike D.",(R),43,56,41,58,47,52
AL,4,Aderholt,(R),23,76,28,71,37,61
AL,5,Brooks,(R),38,61,39,60,44,54
AL,6,Bachus,(R),23,76,22,78,25,74
AL,7,Sewell,(D),72,27,64,35,66,33
AR,1,Crawford,(R),38,59,47,52,50,48
AR,2,Griffin,(R),44,54,48,51,48,49
AR,3,Womack,(R),34,64,36,62,37,60
AR,4,"Ross, Mike",(D),39,58,48,51,49,48
AZ,1,Gosar,(R),44,54,46,54,46,51
AZ,2,Franks,(R),38,61,38,61,41,57
AZ,3,Quayle,(R),42,57,41,58,43,55
AZ,4,Pastor,(D),66,33,62,38,63,35
AZ,5,Schweikert,(R),47,52,45,54,43,54
AZ,6,Flake,(R),38,61,35,64,37,61
AZ,7,Grijalva,(D),57,42,57,43,58,38
AZ,8,Giffords,(D),46,52,46,53,46,50
CA,1,"Thompson, Mike",(D),66,32,60,38,52,39
CA,2,Herger,(R),43,55,37,62,33,61
CA,3,Lungren,(R),49,49,41,58,41,55
CA,4,McClintock,(R),44,54,37,61,36,59
CA,5,Matsui,(D),70,28,61,38,60,35
CA,6,Woolsey,(D),76,22,70,28,62,30
CA,7,"Miller, George",(D),72,27,67,32,66,31
CA,8,Pelosi,(D),85,12,85,14,77,15
CA,9,Lee,(D),88,10,86,13,79,13
CA,10,Garamendi,(D),65,33,59,40,55,41
CA,11,McNerney,(D),54,44,45,54,45,53
CA,12,Speier,(D),74,24,72,27,67,29
CA,13,Stark,(D),74,24,71,28,67,30
CA,14,Eshoo,(D),73,25,68,30,62,34
CA,15,Honda,(D),68,30,63,36,60,36
CA,16,Lofgren,(D),70,29,63,36,64,33
CA,17,Farr,(D),72,26,66,33,60,33
CA,18,Cardoza,(D),59,39,49,50,53,44
CA,19,Denham,(R),46,52,38,61,39,58
CA,20,Costa,(D),60,39,51,48,55,44
CA,21,Nunes,(R),42,56,34,65,37,61
CA,22,"McCarthy, Kevin",(R),38,60,31,68,33,64
CA,23,Capps,(D),66,32,58,40,54,40
CA,24,Gallegly,(R),51,48,43,56,43,54
CA,25,McKeon,(R),49,48,40,59,42,56
CA,26,Dreier,(R),51,47,44,55,44,53
CA,27,Sherman,(D),66,32,59,39,60,36
CA,28,Berman,(D),76,22,71,28,73,24
CA,29,Schiff,(D),68,30,61,37,58,38
CA,30,Waxman,(D),70,28,66,33,68,28
CA,31,Becerra,(D),80,18,77,22,77,19
CA,32,Chu,(D),68,30,62,37,67,31
CA,33,"Bass, Karen",(D),87,12,83,16,83,14
CA,34,Roybal-Allard,(D),75,23,69,30,72,26
CA,35,Waters,(D),84,14,79,20,82,17
CA,36,Hahn,(D),64,34,59,40,57,39
CA,37,Richardson,(D),80,19,74,25,76,22
CA,38,Napolitano,(D),71,27,65,34,70,28
CA,39,"Sanchez, Linda",(D),65,32,59,40,62,36
CA,40,Royce,(R),47,51,39,60,41,56
CA,41,"Lewis, Jerry",(R),44,54,37,62,41,56
CA,42,"Miller, Gary",(R),45,53,37,62,39,59
CA,43,Baca,(D),68,30,58,41,64,34
CA,44,Calvert,(R),50,49,40,59,44,53
CA,45,Bono Mack,(R),52,47,43,56,47,51
CA,46,Rohrabacher,(R),48,50,42,57,42,55
CA,47,"Sanchez, Loretta",(D),60,38,49,50,56,42
CA,48,Campbell,(R),49,49,40,58,40,58
CA,49,Issa,(R),45,53,36,63,39,59
CA,50,Bilbray,(R),51,47,44,55,43,54
CA,51,Filner,(D),63,35,53,46,57,41
CA,52,Hunter,(R),45,53,38,61,40,57
CA,53,"Davis, Susan",(D),68,30,61,38,58,38
CO,1,DeGette,(D),74,24,68,31,61,33
CO,2,Polis,(D),64,34,58,41,52,43
CO,3,Tipton,(R),47,50,44,55,39,54
CO,4,Gardner,(R),49,50,41,58,37,57
CO,5,Lamborn,(R),40,59,33,66,31,63
CO,6,Coffman,(R),46,53,39,60,37,60
CO,7,Perlmutter,(D),59,40,51,48,50,49
CT,1,Larson,(D),66,33,60,39,62,33
CT,2,Courtney,(D),59,40,54,44,54,40
CT,3,DeLauro,(D),63,36,56,42,60,34
CT,4,Himes,(D),60,40,52,46,53,43
CT,5,"Murphy, Chris",(D),56,42,49,49,52,43
DE,AL,Carney,(D),62,37,53,46,55,42
FL,1,"Miller, Jeff",(R),32,67,28,72,31,69
FL,2,Southerland,(R),45,54,46,54,47,53
FL,3,Brown,(D),73,26,65,35,65,35
FL,4,Crenshaw,(R),38,61,31,69,34,66
FL,5,Nugent,(R),43,56,41,58,46,54
FL,6,Stearns,(R),43,56,39,61,42,58
FL,7,Mica,(R),46,53,43,57,46,54
FL,8,Webster,(R),53,47,45,55,46,54
FL,9,Bilirakis,(R),47,52,43,57,46,54
FL,10,"Young, Bill",(R),51,47,49,51,51,49
FL,11,Castor,(D),66,33,58,41,61,39
FL,12,"Ross, Dennis",(R),49,50,42,58,45,55
FL,13,Buchanan,(R),47,52,44,56,46,55
FL,14,Mack,(R),42,57,38,62,39,61
FL,15,Posey,(R),48,51,43,57,46,54
FL,16,Rooney,(R),47,52,46,54,47,53
FL,17,"Wilson, Frederica",(D),87,12,83,17,85,15
FL,18,Ros-Lehtinen,(R),51,49,46,54,43,57
FL,19,Deutch,(D),65,34,66,34,73,27
FL,20,Wasserman Schultz,(D),63,36,64,36,69,31
FL,21,Diaz-Balart,(R),49,51,43,57,42,58
FL,22,West,(R),52,48,52,48,52,48
FL,23,"Hastings, Alcee",(D),83,17,76,24,80,20
FL,24,Adams,(R),49,51,45,55,47,53
FL,25,Rivera,(R),49,50,44,56,45,55
GA,1,Kingston,(R),36,63,34,66,38,62
GA,2,"Bishop, Sanford",(D),54,46,50,50,52,48
GA,3,Westmoreland,(R),35,64,29,70,33,67
GA,4,"Johnson, Hank",(D),79,21,71,28,70,30
GA,5,"Lewis, John",(D),79,20,74,26,73,27
GA,6,"Price, Tom",(R),37,62,29,70,32,68
GA,7,Woodall,(R),39,60,30,70,31,69
GA,8,"Scott, Austin",(R),43,56,39,61,42,58
GA,9,"Graves, Tom",(R),24,75,23,77,29,71
GA,10,Broun,(R),38,61,35,65,37,63
GA,11,Gringrey,(R),33,66,29,71,35,66
GA,12,Barrow,(D),54,45,49,50,52,48
GA,13,"Scott, David",(D),71,28,60,40,57,43
HI,1,Hanabusa,(D),70,28,53,47,55,39
HI,2,Hirono,(D),73,25,56,44,56,36
IA,1,Braley,(D),58,41,53,46,52,45
IA,2,Loebsack,(D),60,38,55,44,53,43
IA,3,Boswell,(D),54,44,50,50,49,48
IA,4,Latham,(R),53,45,48,51,48,49
IA,5,"King, Steve",(R),44,54,39,60,40,57
ID,1,Labrador,(R),36,62,30,69,28,68
ID,2,Simpson,(R),36,61,30,69,28,67
IL,1,Rush,(D),87,13,83,17,84,16
IL,2,Jackson,(D),90,10,84,16,83,17
IL,3,Lipinski,(D),64,35,59,41,58,40
IL,4,Gutierrez,(D),85,13,79,21,79,20
IL,5,Quigley,(D),73,26,67,33,66,34
IL,6,Roskam,(R),56,43,47,53,44,53
IL,7,"Davis, Danny",(D),88,12,83,17,83,16
IL,8,Walsh,(R),56,43,44,56,42,56
IL,9,Schakowsky,(D),72,26,68,32,67,31
IL,10,Dold,(R),61,38,53,47,51,47
IL,11,Kinzinger,(R),53,45,46,53,48,50
IL,12,Costello,(D),54,44,52,48,54,43
IL,13,Biggert,(R),54,45,45,55,42,55
IL,14,Hultgren,(R),55,44,44,55,43,54
IL,15,"Johnson, Tim",(R),48,50,41,59,43,54
IL,16,Manzullo,(R),53,45,44,55,43,54
IL,17,Schilling,(R),56,42,51,48,54,44
IL,18,Schock,(R),48,50,42,58,44,54
IL,19,Shimkus,(R),44,54,39,61,41,56
IN,1,Visclosky,(D),62,37,55,44,56,42
IN,2,Donnelly,(D),54,45,43,56,45,53
IN,3,Stutzman,(R),43,56,31,68,33,66
IN,4,Rokita,(R),43,56,30,69,32,66
IN,5,Burton,(R),40,59,28,71,30,69
IN,6,Pence,(R),46,53,35,64,40,59
IN,7,Carson,(D),71,28,58,42,56,43
IN,8,Bucshon,(R),47,51,38,62,42,57
IN,9,"Young, Todd",(R),49,50,40,59,42,56
