congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,Average,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
113,President,99911,99,0,USA,100,0.938223938,0,"OBAMA, Barack",O000167,1961,,-0.354,-0.203,-41.04464,0.882,327,11,,,
113,House,20300,41,1,AL,200,0.934624697,1,"BONNER, Jr., Josiah Robins (Jo)",B001244,1959,,0.367,0.513,-41.88718,0.888,354,17,,0.331,0.625
113,House,20301,41,3,AL,200,0.939368061,1,"ROGERS, Mike Dennis",R000575,1958,,0.354,0.459,-135.7894,0.87326,1002,57,,0.451,0.659
113,House,21102,41,7,AL,100,0.81207483,1,"SEWELL, Terri",S001185,1965,,-0.391,0.402,-160.51015,0.85225,1004,78,,-0.406,0.478
113,House,21192,41,2,AL,200,0.948782536,1,"ROBY, Martha",R000591,1976,,0.361,0.657,-87.28321,0.91768,1016,33,,0.316,0.734
113,House,21193,41,5,AL,200,0.909319899,1,"BROOKS, Mo",B001274,1954,,0.647,-0.447,-207.60932,0.81436,1011,77,,0.576,-0.225
113,House,21376,41,1,AL,200,0.954545455,2,"BYRNE, Bradley",B001289,1955,,0.612,0.242,-38.88726,0.91843,457,14,,0.571,0.368
113,House,29301,41,6,AL,200,0.939419795,1,"BACHUS, Spencer T., III",B000013,1947,,0.387,0.228,-134.43974,0.874,996,66,,0.332,0.318
113,House,29701,41,4,AL,200,0.937728938,1,"ADERHOLT, Robert",A000055,1965,,0.368,0.594,-88.83142,0.90973,939,38,,0.356,0.773
113,House,14066,81,1,AK,200,0.888888889,1,"YOUNG, Donald Edwin",Y000033,1933,,0.284,0.022,-222.33518,0.79094,948,87,,0.265,0.116
113,House,20304,61,8,AZ,200,0.931304348,1,"FRANKS, Trent",F000448,1957,,0.749,0.087,-103.99518,0.89863,973,39,,0.707,0.253
113,House,20305,61,3,AZ,100,0.839269406,1,"GRIJALVA, Raúl M.",G000551,1948,,-0.599,-0.256,-123.28698,0.87829,950,45,,-0.511,-0.378
113,House,20902,61,1,AZ,100,0.773011618,1,"KIRKPATRICK, Ann",K000368,1950,,-0.163,-0.006,-273.39041,0.74694,937,137,,-0.249,0.167
113,House,21103,61,4,AZ,200,0.904990403,1,"GOSAR, Paul",G000565,1958,,0.676,-0.419,-170.81031,0.82321,878,77,,0.63,-0.352
113,House,21105,61,6,AZ,200,0.917737789,1,"SCHWEIKERT, David",S001183,1962,,0.59,-0.325,-122.70529,0.88332,989,54,,0.657,-0.318
113,House,21199,61,2,AZ,100,0.685738685,1,"BARBER, Ron",B001279,1945,,-0.123,0.001,-330.80405,0.716,992,144,,-0.097,-0.043
113,House,21300,61,9,AZ,100,0.725255973,1,"SINEMA, Kyrsten",S001191,1976,,-0.102,0.059,-309.97035,0.73118,990,110,,-0.12,-0.093
113,House,29101,61,7,AZ,100,0.826904986,1,"PASTOR, Ed",P000099,1943,,-0.421,0.12,-153.07236,0.846,915,72,,-0.405,0.092
113,House,29500,61,5,AZ,200,0.892703863,1,"SALMON, Matthew James",S000018,1958,,0.673,-0.272,-156.01219,0.854,988,76,,0.71,-0.389
113,House,21106,42,1,AR,200,0.943649374,1,"CRAWFORD, Rick",C001087,1966,,0.409,0.495,-111.70689,0.88884,948,49,,0.332,0.448
113,House,21107,42,2,AR,200,0.927782498,1,"GRIFFIN, Tim",G000567,1968,,0.41,0.421,-129.51757,0.879,1002,73,,0.387,0.284
113,House,21108,42,3,AR,200,0.953410982,1,"WOMACK, Steve",W000809,1957,,0.355,0.59,-87.74137,0.91765,1021,36,,0.331,0.49
113,House,21301,42,4,AR,200,0.91512605,1,"COTTON, Tom",C001095,1977,,0.569,0.083,-144.88404,0.86649,1011,69,,0.642,0.202
113,House,14256,71,11,CA,100,0.841071429,1,"MILLER, George",M000725,1945,,-0.552,-0.398,-141.94614,0.86,941,66,,-0.507,-0.282
113,House,14280,71,33,CA,100,0.864241349,1,"WAXMAN, Henry Arnold",W000215,1939,,-0.473,-0.343,-106.7633,0.894,954,49,,-0.463,-0.174
113,House,15448,71,12,CA,100,1,1,"PELOSI, Nancy",P000197,1940,,-0.49,-0.206,-104.32965,0.89312,923,43,,-0.453,-0.08
113,House,15621,71,48,CA,200,0.867686769,1,"ROHRABACHER, Dana",R000409,1947,,0.626,-0.417,-220.54778,0.79957,986,102,,0.669,-0.744
113,House,20103,71,17,CA,100,0.837934105,1,"HONDA, Mike",H001034,1941,,-0.529,-0.482,-109.97685,0.89,944,62,,-0.492,-0.43
113,House,20104,71,28,CA,100,0.869017632,1,"SCHIFF, Adam",S001150,1960,,-0.349,-0.128,-98.33695,0.90714,1009,30,,-0.389,-0.16
113,House,20107,71,49,CA,200,0.952941176,1,"ISSA, Darrell",I000056,1953,,0.506,-0.085,-114.48541,0.89284,1010,45,,0.463,0.016
113,House,20108,71,53,CA,100,0.880067568,1,"DAVIS, Susan A.",D000598,1944,,-0.344,-0.106,-115.00683,0.89146,1001,36,,-0.388,-0.007
113,House,20307,71,22,CA,200,0.967604433,1,"NUNES, Devin",N000181,1973,,0.449,0.214,-107.9093,0.89693,992,45,,0.357,0.393
113,House,20310,71,38,CA,100,0.834188034,1,"SÁNCHEZ, Linda T.",S001156,1969,,-0.508,-0.137,-143.49078,0.8652,991,62,,-0.47,-0.122
113,House,20501,71,16,CA,100,0.669877408,1,"COSTA, Jim",C001059,1952,,-0.191,0.466,-396.79377,0.66567,975,206,,-0.176,0.393
113,House,20538,71,6,CA,100,0.858952703,1,"MATSUI, Doris",M001163,1944,,-0.434,-0.161,-120.29542,0.88666,1000,54,,-0.439,-0.205
113,House,20539,71,45,CA,200,0.92,1,"CAMPBELL, John (of California)",C001064,1955,,0.748,-0.415,-115.09929,0.819,577,41,,0.617,-0.155
113,House,20702,71,9,CA,100,0.838682432,1,"McNERNEY, Jerry",M001166,1951,,-0.262,-0.15,-200.08003,0.81948,1005,77,,-0.308,0.004
113,House,20703,71,23,CA,200,1,1,"MCCARTHY, Kevin",M001165,1965,,0.459,0.211,-105.87055,0.90141,1020,41,,0.4,0.36
113,House,20762,71,14,CA,100,0.84870188,1,"SPEIER, Karen Lorraine Jacqueline (Jackie)",S001175,1950,,-0.381,-0.447,-103.01402,0.89825,960,41,,-0.42,-0.445
113,House,20903,71,4,CA,200,0.881412952,1,"McCLINTOCK, Tom",M001177,1956,,0.719,-0.473,-162.57863,0.85159,1012,86,,0.735,-0.517
113,House,20955,71,27,CA,100,0.851468048,1,"CHU, Judy",C001080,1953,,-0.486,-0.378,-99.98625,0.90291,979,50,,-0.53,-0.179
113,House,20958,71,3,CA,100,0.805437553,1,"GARAMENDI, John",G000559,1945,,-0.309,-0.095,-237.18558,0.78847,998,109,,-0.271,-0.132
113,House,20963,71,50,CA,200,0.936776492,1,"HUNTER, Duncan Duane",H001048,1976,,0.539,0.085,-128.72161,0.87452,960,57,,0.531,0.11
113,House,21109,71,10,CA,200,0.914213625,1,"DENHAM, Jeff",D000612,1967,,0.306,0.212,-169.03896,0.84589,1010,76,,0.273,0.261
113,House,21110,71,37,CA,100,0.846011132,1,"BASS, Karen",B001270,1953,,-0.585,-0.106,-98.33197,0.8965,900,53,,-0.533,-0.164
113,House,21195,71,44,CA,100,0.856427379,1,"HAHN, Janice",H001063,1952,,-0.39,-0.376,-107.26435,0.9,1016,40,,-0.424,-0.344
113,House,21302,71,1,CA,200,0.950511945,1,"LaMALFA, Doug",L000578,1960,,0.537,0.105,-103.75173,0.90126,998,34,,0.57,0.188
113,House,21303,71,2,CA,100,0.864795918,1,"HUFFMAN, Jared",H001068,1964,,-0.426,-0.544,-110.90201,0.89483,998,36,,-0.426,-0.432
113,House,21304,71,7,CA,100,0.796157059,1,"BERA, Ami",B001287,1965,,-0.232,0.014,-199.37677,0.82198,1017,87,,-0.202,-0.108
113,House,21305,71,8,CA,200,0.948739496,1,"COOK, Paul",C001094,1943,,0.375,0.205,-130.70277,0.87895,1013,59,,0.432,0.116
113,House,21306,71,15,CA,100,0.834448161,1,"SWALWELL, Eric",S001193,1980,,-0.368,-0.106,-167.06488,0.84837,1016,78,,-0.374,-0.048
113,House,21307,71,21,CA,200,0.910535117,1,"VALADAO, David G.",V000129,1977,,0.253,0.411,-171.18822,0.8448,1015,69,,0.247,0.308
113,House,21308,71,26,CA,100,0.821368948,1,"BROWNLEY, Julia",B001285,1952,,-0.286,0.051,-177.51934,0.83998,1018,86,,-0.271,0.012
113,House,21309,71,29,CA,100,0.840034965,1,"CÁRDENAS, Tony",C001097,1963,,-0.383,0.021,-169.92912,0.84006,975,65,,-0.361,0.025
113,House,21310,71,35,CA,100,0.823529412,1,"NEGRETE McLEOD, Gloria",N000187,1941,,-0.437,0.035,-133.89662,0.855,856,65,,-0.429,0.009
113,House,21311,71,36,CA,100,0.764402408,1,"RUIZ, Raul",R000599,1972,,-0.242,0.062,-281.80223,0.75228,990,137,,-0.199,0.015
113,House,21312,71,41,CA,100,0.86,1,"TAKANO, Mark",T000472,1960,,-0.462,-0.262,-141.99773,0.8698,1018,51,,-0.461,-0.075
113,House,21313,71,47,CA,100,0.862300588,1,"LOWENTHAL, Alan",L000579,1941,,-0.45,-0.372,-89.47443,0.91514,1009,37,,-0.474,-0.304
113,House,21314,71,51,CA,100,0.845762712,1,"VARGAS, Juan",V000130,1961,,-0.399,0.104,-150.60726,0.86006,999,65,,-0.383,0.166
113,House,21315,71,52,CA,100,0.75,1,"PETERS, Scott",P000608,1958,,-0.179,-0.048,-299.82788,0.74358,1012,143,,-0.161,-0.159
113,House,29106,71,43,CA,100,0.846975089,1,"WATERS, Maxine",W000187,1938,,-0.653,-0.072,-124.65558,0.87835,961,52,,-0.531,-0.068
113,House,29312,71,18,CA,100,0.86762226,1,"ESHOO, Anna Georges",E000215,1942,,-0.381,-0.427,-105.45584,0.89982,999,36,,-0.379,-0.407
113,House,29313,71,20,CA,100,0.852839931,1,"FARR, Sam",F000030,1941,,-0.455,-0.219,-129.45034,0.877,985,50,,-0.439,-0.137
113,House,29315,71,25,CA,200,0.946086957,1,"McKEON, Howard P. (Buck)",M000508,1938,,0.396,0.208,-126.13141,0.88,983,56,,0.297,0.616
113,House,29316,71,34,CA,100,0.868894602,1,"BECERRA, Xavier",B000287,1958,,-0.512,-0.283,-78.82904,0.92294,983,30,,-0.508,-0.318
113,House,29317,71,40,CA,100,0.866040956,1,"ROYBAL-ALLARD, Lucille",R000486,1941,,-0.47,-0.189,-92.50627,0.91156,999,38,,-0.48,-0.097
113,House,29321,71,39,CA,200,0.940526763,1,"ROYCE, Edward Randall",R000487,1951,,0.657,-0.353,-129.45921,0.8788,1002,51,,0.563,-0.173
113,House,29323,71,42,CA,200,0.95443038,1,"CALVERT, Ken",C000059,1953,,0.349,0.219,-89.67645,0.91504,1010,33,,0.296,0.471
113,House,29504,71,19,CA,100,0.841004184,1,"LOFGREN, Zoe",L000397,1947,,-0.402,-0.446,-179.69823,0.83671,1008,69,,-0.361,-0.374
113,House,29707,71,30,CA,100,0.848026868,1,"SHERMAN, Brad",S000344,1954,,-0.342,-0.147,-157.44128,0.85592,1012,58,,-0.322,-0.116
113,House,29709,71,46,CA,100,0.828042328,1,"SANCHEZ, Loretta",S000030,1960,,-0.367,0.025,-205.52164,0.808,966,89,,-0.329,0.015
113,House,29774,71,24,CA,100,0.860504202,1,"CAPPS, Lois",C001036,1938,,-0.389,-0.227,-124.611,0.884,1014,44,,-0.361,-0.285
113,House,29778,71,13,CA,100,0.824500434,1,"LEE, Barbara",L000551,1946,,-0.682,-0.588,-94.26277,0.90996,999,54,,-0.651,-0.444
113,House,29901,71,5,CA,100,0.838111298,1,"THOMPSON, Michael",T000460,1951,,-0.395,0.065,-167.33515,0.84704,1008,90,,-0.392,-0.197
113,House,29903,71,32,CA,100,0.85395189,1,"NAPOLITANO, Grace Flores",N000179,1936,,-0.448,-0.249,-103.95581,0.89945,981,50,,-0.477,-0.288
113,House,29905,71,31,CA,200,0.973282443,1,"MILLER, Gary G.",M001139,1948,,0.478,0.222,-81.82418,0.886,674,35,,0.335,0.181
113,House,20704,62,5,CO,200,0.936815501,1,"LAMBORN, Doug",L000564,1954,,0.678,0.203,-122.01108,0.88674,1015,42,,0.622,0.181
113,House,20705,62,7,CO,100,0.820401046,1,"PERLMUTTER, Ed",P000593,1953,,-0.281,0.076,-227.49404,0.79037,967,93,,-0.282,0.067
113,House,20904,62,2,CO,100,0.803278689,1,"POLIS, Jared",P000598,1975,,-0.278,-0.692,-276.30493,0.7413,923,97,,-0.247,-0.719
113,House,20906,62,6,CO,200,0.907795474,1,"COFFMAN, Mike",C001077,1955,,0.492,-0.213,-178.39351,0.83897,1016,89,,0.458,-0.299
113,House,21111,62,3,CO,200,0.918733961,1,"TIPTON, Scott",T000470,1956,,0.447,-0.02,-166.81465,0.84536,993,81,,0.473,-0.045
