congress,year,name,party,state,district,margin,allAverage,partisanAverage,billAverage,procedureAverage,resolutionAverage
2000,106, ABERCROMBIE; Neil,100,HI,1,40.41375625,0.945848375,0.914728682,0.937106918,0.950963222,0.945205479
2002,107, ABERCROMBIE; Neil,100,HI,1,47.93867196,0.790909091,0.704433498,0.844748858,0.78978979,0.73853211
2004,108, ABERCROMBIE; Neil,100,HI,1,28.99192383,0.7421875,0.609856263,0.805343511,0.769620253,0.627615063
2006,109, ABERCROMBIE; Neil,100,HI,1,38.70781478,0.735714286,0.602649007,0.830188679,0.750649351,0.62962963
2008,110, ABERCROMBIE; Neil,100,HI,1,53.1478616,0.734195402,0.591160221,0.822033898,0.754442649,0.630071599
2018,115, ABRAHAM; Ralph,200,LA,5,36.5713163,0.763023493,0.730569948,0.987854251,0.515086207,0.985074627
2000,106, ACKERMAN; Gary Leonard,100,NY,5,29.10010301,0.985148515,0.985943775,0.992831541,0.985267035,0.973404255
2004,108, ACKERMAN; Gary Leonard,100,NY,5,34.44001685,0.745260664,0.622807018,0.808163265,0.761658031,0.643192488
2008,110, ACKERMAN; Gary Leonard,100,NY,5,30.51835076,0.727461859,0.586206897,0.820441989,0.751914242,0.611241218
2010,111, ACKERMAN; Gary Leonard,100,NY,5,29.25590857,0.706062932,0.562146893,0.778145695,0.727580372,0.62195122
2014,113, ADAMS; Alma,100,NC,12,50.69267479,0.647058824,0.5,0.833333333,0.705882353,0.454545455
2016,114, ADAMS; Alma,100,NC,12,34.04809619,0.75960347,0.632794457,0.822429907,0.779069767,0.678714859
2018,115, ADAMS; Alma,100,NC,12,46.14563406,0.77254902,0.668280872,0.856410256,0.8,0.657777778
2000,106, ADERHOLT; Robert,200,AL,4,23.19671493,0.962264151,0.96749522,0.978851964,0.941284404,0.987341772
2004,108, ADERHOLT; Robert,200,AL,4,49.597222,0.79568672,0.782089552,0.977973568,0.626666667,0.965686275
2006,109, ADERHOLT; Robert,200,AL,4,40.47697081,0.783606557,0.740437158,0.991561181,0.578475336,0.965517241
2008,110, ADERHOLT; Robert,200,AL,4,49.65060209,0.779540048,0.772313297,0.989285714,0.605882353,0.976744186
2012,112, ADERHOLT; Robert,200,AL,4,48.0699916,0.76313276,0.769556025,0.991150442,0.585492228,0.975206612
2018,115, ADERHOLT; Robert,200,AL,4,59.64566673,0.766137566,0.736979167,0.987068966,0.522123894,0.992337165
2016,114, AGUILAR; Peter Rey,100,CA,31,12.13507706,0.758045292,0.626373626,0.822727273,0.792243767,0.65503876
2018,115, AGUILAR; Peter Rey,100,CA,31,17.48899971,0.767948718,0.658711217,0.845360825,0.789772727,0.670940171
2002,107, AKIN; W. Todd,200,MO,2,36.10285016,0.844868735,0.791530945,0.987068966,0.703431373,0.96969697
2004,108, AKIN; W. Todd,200,MO,2,32.40059794,0.801339286,0.781341108,0.983122363,0.628635347,0.962264151
2006,109, AKIN; W. Todd,200,MO,2,24.75861997,0.77588047,0.720108696,0.991803279,0.563596491,0.962025316
2008,110, AKIN; W. Todd,200,MO,2,26.86743241,0.777690495,0.767730496,0.985865724,0.605531295,0.97359736
2010,111, AKIN; W. Todd,200,MO,2,38.78071919,0.743183817,0.74556213,0.98340249,0.531516184,0.957928803
2006,109, ALEXANDER; Rodney,200,LA,5,39.25398405,0.790233074,0.748603352,0.991341991,0.599099099,0.960176991
2016,114, ALLEN; Rick W.,200,GA,12,23.2017056,0.774093264,0.732142857,0.983606557,0.575,0.958506224
2018,115, ALLEN; Rick W.,200,GA,12,18.95612183,0.759674134,0.730077121,0.987854251,0.513800425,0.984848485
2000,106, ALLEN; Thomas H.,100,ME,1,23.27024365,0.97660312,0.975471698,0.97005988,0.976068376,0.987234043
2002,107, ALLEN; Thomas H.,100,ME,1,27.61321177,0.795969773,0.701923077,0.841409692,0.804093567,0.737777778
2004,108, ALLEN; Thomas H.,100,ME,1,19.47265092,0.743257821,0.624031008,0.820512821,0.764563107,0.619834711
2006,109, ALLEN; Thomas H.,100,ME,1,29.51737981,0.73612684,0.609406953,0.834821429,0.754342432,0.62109375
2008,110, ALTMIRE; Jason,100,PA,4,11.71593097,0.723487313,0.582417582,0.81122449,0.750724638,0.606593407
2010,111, ALTMIRE; Jason,100,PA,4,1.627100111,0.706970128,0.568,0.797653959,0.714057508,0.62642369
2012,112, AMASH; Justin,200,MI,3,8.448800581,0.795564127,0.79004329,0.982532751,0.648601399,0.970338983
2014,113, AMASH; Justin,200,MI,3,18.89531002,0.781362007,0.79787234,0.994594595,0.612554113,0.984210526
2016,114, AMASH; Justin,200,MI,3,21.94879734,0.773933103,0.741144414,0.99,0.590707965,0.958139535
2018,115, AMASH; Justin,200,MI,3,11.2383343,0.790789474,0.788059701,0.969325153,0.648711944,0.976470588
2012,112, AMODEI; Mark E.,200,NV,2,21.38717849,0.720447284,0.733788396,0.983471074,0.521367521,0.967532468
2014,113, AMODEI; Mark E.,200,NV,2,37.7992589,0.762470309,0.783861671,0.989071038,0.575757576,0.989847716
2016,114, AMODEI; Mark E.,200,NV,2,21.36811602,0.791294643,0.749326146,0.98245614,0.608108108,0.959821429
2018,115, AMODEI; Mark E.,200,NV,2,16.46153365,0.77028451,0.736842105,0.987551867,0.526666667,0.992248062
