CongressNum, Name, Party, State, District, allAverage, partisanAverage, billAverage,procedureAverage,resolutionAverage
106, CLINTON; William Jefferson (Bill),100, USA,0,0.988888889,0.985507246,0.97826087,1,1
106, CALLAHAN; Herbert Leon (Sonny),200, AL,1,0.985454545,0.979674797,0.99270073,0.978187919,0.995652174
106, CRAMER; Robert E. (Bud); Jr.,100, AL,5,0.879518072,0.722222222,0.846689895,0.886075949,0.90376569
106, EVERETT; Robert Terry,200, AL,2,0.981064022,0.992217899,0.981617647,0.973509934,1
106, BACHUS; Spencer T.; III,200, AL,6,0.967572305,0.966067864,0.982758621,0.949180328,0.995850622
106, HILLIARD; Earl Frederick,100, AL,7,0.971153846,0.954365079,0.970149254,0.97826087,0.954545455
106, RILEY; Robert,200, AL,3,0.970108696,0.984644914,0.97826087,0.958402662,0.991189427
106, ADERHOLT; Robert,200, AL,4,0.962264151,0.96749522,0.979166667,0.943877551,0.987341772
106, YOUNG; Donald Edwin,200, AK,1,0.973737374,0.974576271,0.977099237,0.962524655,0.995475113
106, STUMP; Robert Lee,200, AZ,3,0.974716652,1,0.992831541,0.958532695,0.995850622
106, KOLBE; James Thomas,200, AZ,5,0.959259259,0.944444444,0.996268657,0.927958834,0.995633188
106, PASTOR; Ed,100, AZ,2,0.968393327,0.943074004,0.98615917,0.968903437,0.945606695
106, SALMON; Matthew James,200, AZ,1,0.943289225,0.977687627,0.996268657,0.896613191,0.995633188
106, SHADEGG; John B.,200, AZ,4,0.952770209,0.994208494,0.992509363,0.918874172,0.995652174
106, HAYWORTH; John D.; Jr.,200, AZ,6,0.955729167,0.990494297,0.985915493,0.926751592,0.995833333
106, DICKEY; Jay W.; Jr.,200, AR,4,0.967381174,0.972277228,0.988888889,0.946086957,0.995614035
106, BERRY; Robert Marion,100, AR,1,0.894444444,0.784313725,0.903780069,0.873417722,0.93220339
106, SNYDER; Victor F.,100, AR,2,0.970822281,0.939637827,0.958477509,0.976859504,0.970464135
106, HUTCHINSON; Asa,200, AR,3,0.973467521,0.976470588,0.992882562,0.953528399,1
106, BROWN; George Edward; Jr.,100, CA,42,1,1,1,1,1
106, STARK; Fortney Hillman (Pete); Jr.,100, CA,13,0.952879581,0.977083333,0.97826087,0.930769231,0.980487805
