Name, State, District, allAverage, partisanAverage, billAverage,procedureAverage,resolutionAverage
CLINTON; William Jefferson (Bill), USA, 0, 0.9888888888888889, 0.9855072463768116, 0.9782608695652174, 1.0, 1.0
CALLAHAN; Herbert Leon (Sonny), AL, 1, 0.9854545454545455, 0.9796747967479674, 0.9927007299270073, 0.9781879194630873, 0.9956521739130435
CRAMER; Robert E. (Bud); Jr., AL, 5, 0.8795180722891566, 0.7222222222222222, 0.8466898954703833, 0.8860759493670886, 0.9037656903765691
EVERETT; Robert Terry, AL, 2, 0.9810640216411182, 0.9922178988326849, 0.9816176470588235, 0.9735099337748344, 1.0
BACHUS; Spencer T.; III, AL, 6, 0.9675723049956179, 0.9660678642714571, 0.9827586206896551, 0.9491803278688524, 0.995850622406639
HILLIARD; Earl Frederick, AL, 7, 0.9711538461538461, 0.9543650793650794, 0.9701492537313433, 0.9782608695652174, 0.9545454545454546
RILEY; Robert, AL, 3, 0.970108695652174, 0.9846449136276392, 0.9782608695652174, 0.9584026622296173, 0.9911894273127754
ADERHOLT; Robert, AL, 4, 0.9622641509433962, 0.9674952198852772, 0.9791666666666666, 0.9438775510204082, 0.9873417721518988
YOUNG; Donald Edwin, AK, 1, 0.9737373737373738, 0.9745762711864406, 0.9770992366412213, 0.9625246548323472, 0.995475113122172
STUMP; Robert Lee, AZ, 3, 0.974716652136007, 1.0, 0.992831541218638, 0.9585326953748007, 0.995850622406639
KOLBE; James Thomas, AZ, 5, 0.9592592592592593, 0.9444444444444444, 0.996268656716418, 0.9279588336192109, 0.9956331877729258
PASTOR; Ed, AZ, 2, 0.9683933274802459, 0.9430740037950665, 0.986159169550173, 0.9689034369885434, 0.9456066945606695
SALMON; Matthew James, AZ, 1, 0.943289224952741, 0.9776876267748479, 0.996268656716418, 0.8966131907308378, 0.9956331877729258
SHADEGG; John B., AZ, 4, 0.9527702089009991, 0.9942084942084942, 0.9925093632958801, 0.9188741721854304, 0.9956521739130435
HAYWORTH; John D.; Jr., AZ, 6, 0.9557291666666666, 0.9904942965779467, 0.9859154929577465, 0.9267515923566879, 0.9958333333333333
DICKEY; Jay W.; Jr., AR, 4, 0.967381174277726, 0.9722772277227723, 0.9888888888888889, 0.9460869565217391, 0.9956140350877193
BERRY; Robert Marion, AR, 1, 0.8944444444444445, 0.7843137254901961, 0.9037800687285223, 0.8734177215189873, 0.9322033898305084
SNYDER; Victor F., AR, 2, 0.9708222811671088, 0.9396378269617707, 0.9584775086505191, 0.9768595041322314, 0.9704641350210971
HUTCHINSON; Asa, AR, 3, 0.9734675205855444, 0.9764705882352941, 0.9928825622775801, 0.9535283993115319, 1.0
