year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,runoff,special,candidate,party,writein,mode,candidatevotes,totalvotes,unofficial,version
2018,Alabama,AL,1,63,41,US House,1,gen,NA,FALSE,Bradley Byrne,republican,FALSE,total,153228,242617,FALSE,20200424
2018,Alabama,AL,1,63,41,US House,2,gen,NA,FALSE,Martha Roby,republican,FALSE,total,138879,226230,FALSE,20200424
2018,Alabama,AL,1,63,41,US House,3,gen,NA,FALSE,Mike Rogers,republican,FALSE,total,147770,231915,FALSE,20200424
2018,Alabama,AL,1,63,41,US House,4,gen,NA,FALSE,Robert Aderholt,republican,FALSE,total,184255,230969,FALSE,20200424
2018,Alabama,AL,1,63,41,US House,5,gen,NA,FALSE,Mo Brooks,republican,FALSE,total,159063,260673,FALSE,20200424
2018,Alabama,AL,1,63,41,US House,6,gen,NA,FALSE,Gary Palmer,republican,FALSE,total,192542,278328,FALSE,20200424
2018,Alaska,AK,2,94,81,US House,0,gen,NA,FALSE,Don Young,republican,FALSE,total,149779,282166,FALSE,20200424
2018,Arizona,AZ,4,86,61,US House,1,gen,NA,FALSE,Wendy Rogers,republican,FALSE,total,122784,266089,FALSE,20200424
2018,Arizona,AZ,4,86,61,US House,2,gen,NA,FALSE,Lea Marquez Peterson,republican,FALSE,total,133083,294152,FALSE,20200424
2018,Arizona,AZ,4,86,61,US House,3,gen,NA,FALSE,"Nicolas """"Nick"""" Pierson",republican,FALSE,total,64868,179518,FALSE,20200424
2018,Arizona,AZ,4,86,61,US House,4,gen,NA,FALSE,Paul Gosar,republican,FALSE,total,188842,277035,FALSE,20200424
2018,Arizona,AZ,4,86,61,US House,5,gen,NA,FALSE,Andy Biggs,republican,FALSE,total,186037,313064,FALSE,20200424
2018,Arizona,AZ,4,86,61,US House,6,gen,NA,FALSE,David Schweikert,republican,FALSE,total,173140,313699,FALSE,20200424
2018,Arizona,AZ,4,86,61,US House,8,gen,NA,FALSE,Debbie Lesko,republican,FALSE,total,168835,304417,FALSE,20200424
2018,Arizona,AZ,4,86,61,US House,9,gen,NA,FALSE,Stephen L Ferrara,republican,FALSE,total,101662,261245,FALSE,20200424
2018,Arkansas,AR,5,71,42,US House,1,gen,NA,FALSE,Rick Crawford,republican,FALSE,total,138757,201245,FALSE,20200424
2018,Arkansas,AR,5,71,42,US House,2,gen,NA,FALSE,French Hill,republican,FALSE,total,132125,253453,FALSE,20200424
2018,Arkansas,AR,5,71,42,US House,3,gen,NA,FALSE,Steve Womack,republican,FALSE,total,148717,229708,FALSE,20200424
2018,Arkansas,AR,5,71,42,US House,4,gen,NA,FALSE,Bruce Westerman,republican,FALSE,total,136740,204892,FALSE,20200424
2018,California,CA,6,93,71,US House,1,gen,NA,FALSE,Doug La Malfa,republican,FALSE,total,160046,291594,FALSE,20200424
2018,California,CA,6,93,71,US House,2,gen,NA,FALSE,Dale K. Mensing,republican,FALSE,total,72576,315657,FALSE,20200424
2018,California,CA,6,93,71,US House,3,gen,NA,FALSE,Charlie Schaupp,republican,FALSE,total,97376,232251,FALSE,20200424
2018,California,CA,6,93,71,US House,4,gen,NA,FALSE,Tom McClintock,republican,FALSE,total,184401,340654,FALSE,20200424
2018,California,CA,6,93,71,US House,7,gen,NA,FALSE,Andrew Grant,republican,FALSE,total,126601,281617,FALSE,20200424
2018,California,CA,6,93,71,US House,8,gen,NA,FALSE,Paul Cook,republican,FALSE,total,102415,170785,FALSE,20200424
2018,California,CA,6,93,71,US House,8,gen,NA,FALSE,Tim Donnelly,republican,FALSE,total,68370,170785,FALSE,20200424
2018,California,CA,6,93,71,US House,9,gen,NA,FALSE,Marla Livengood,republican,FALSE,total,87349,200763,FALSE,20200424
2018,California,CA,6,93,71,US House,10,gen,NA,FALSE,Jeff Denham,republican,FALSE,total,105955,221900,FALSE,20200424
2018,California,CA,6,93,71,US House,11,gen,NA,FALSE,John Fitzgerald,republican,FALSE,total,71312,275681,FALSE,20200424
2018,California,CA,6,93,71,US House,12,gen,NA,FALSE,Lisa Remmer,republican,FALSE,total,41780,317072,FALSE,20200424
2018,California,CA,6,93,71,US House,14,gen,NA,FALSE,Cristina Osmena,republican,FALSE,total,55439,266823,FALSE,20200424
