congress,chamber,rollnumber,icpsr,cast_code,prob
115,House,1,15448,6,100
115,House,2,15448,6,100
115,House,3,15448,6,100
115,House,4,15448,1,100
115,House,5,15448,6,100
115,House,6,15448,1,100
115,House,7,15448,6,100
115,House,8,15448,6,100
115,House,9,15448,6,100
115,House,10,15448,6,66.5
115,House,11,15448,6,100
115,House,12,15448,1,100
115,House,13,15448,1,99.9
115,House,14,15448,1,100
115,House,15,15448,1,100
115,House,16,15448,1,100
115,House,17,15448,1,99.9
115,House,18,15448,1,100
115,House,19,15448,1,100
115,House,20,15448,6,100
115,House,21,15448,1,100
115,House,22,15448,6,100
115,House,23,15448,1,100
115,House,24,15448,1,100
115,House,25,15448,6,100
115,House,26,15448,6,100
115,House,27,15448,1,50.6
115,House,28,15448,1,99.1
115,House,29,15448,1,99.9
115,House,30,15448,6,79.1
115,House,31,15448,6,100
115,House,32,15448,6,100
115,House,33,15448,1,99.7
115,House,34,15448,9,100
115,House,35,15448,9,96.6
115,House,36,15448,9,100
115,House,37,15448,9,100
115,House,38,15448,9,100
115,House,39,15448,9,100
115,House,40,15448,9,100
115,House,41,15448,9,100
115,House,42,15448,9,100
115,House,43,15448,1,100
115,House,44,15448,6,100
115,House,45,15448,1,100
115,House,46,15448,1,100
115,House,47,15448,1,100
115,House,48,15448,1,100
115,House,49,15448,1,100
115,House,50,15448,6,99.9
115,House,51,15448,6,99.6
115,House,52,15448,1,100
115,House,53,15448,6,100
115,House,54,15448,9,100
115,House,55,15448,9,100
115,House,56,15448,1,99.7
115,House,57,15448,6,100
115,House,58,15448,6,98
115,House,59,15448,1,100
115,House,60,15448,1,100
115,House,61,15448,6,100
115,House,62,15448,6,100
115,House,63,15448,1,100
115,House,64,15448,6,100
115,House,65,15448,9,99.7
115,House,66,15448,1,99.3
115,House,67,15448,9,100
115,House,68,15448,9,100
115,House,69,15448,6,100
115,House,70,15448,6,100
115,House,71,15448,6,100
115,House,72,15448,6,100
115,House,73,15448,6,100
115,House,74,15448,6,100
115,House,75,15448,6,100
115,House,76,15448,6,99.9
115,House,77,15448,6,100
115,House,78,15448,1,
115,House,79,15448,1,
115,House,80,15448,6,100
115,House,81,15448,6,100
115,House,82,15448,6,100
115,House,83,15448,6,100
115,House,84,15448,6,100
115,House,85,15448,1,
115,House,86,15448,1,
115,House,87,15448,6,100
115,House,88,15448,6,100
115,House,89,15448,6,100
115,House,90,15448,6,100
115,House,91,15448,6,99.1
115,House,92,15448,6,100
115,House,93,15448,6,100
115,House,94,15448,6,100
115,House,95,15448,6,100
115,House,96,15448,6,100
115,House,97,15448,6,99.9
115,House,98,15448,6,100
115,House,99,15448,1,
115,House,100,15448,6,100
115,House,101,15448,1,99.3
115,House,102,15448,6,100
115,House,103,15448,6,100
115,House,104,15448,1,99.2
115,House,105,15448,1,100
115,House,106,15448,1,100
115,House,107,15448,1,100
115,House,108,15448,1,100
115,House,109,15448,9,100
115,House,110,15448,9,100
115,House,111,15448,9,100
115,House,112,15448,9,100
115,House,113,15448,9,100
115,House,114,15448,6,100
115,House,115,15448,6,100
115,House,116,15448,6,98.6
115,House,117,15448,1,100
115,House,118,15448,1,100
115,House,119,15448,6,100
115,House,120,15448,6,99.9
115,House,121,15448,1,100
115,House,122,15448,6,99
115,House,123,15448,1,99.4
115,House,124,15448,9,100
115,House,125,15448,9,99.9
115,House,126,15448,1,
115,House,127,15448,6,100
115,House,128,15448,6,100
115,House,129,15448,9,100
115,House,130,15448,6,100
115,House,131,15448,1,82.8
115,House,132,15448,6,99.9
115,House,133,15448,9,84.9
115,House,134,15448,1,86.7
115,House,135,15448,1,48.5
115,House,136,15448,9,58.7
115,House,137,15448,6,100
115,House,138,15448,6,100
115,House,139,15448,1,100
115,House,140,15448,1,99.9
115,House,141,15448,1,100
115,House,142,15448,1,100
115,House,143,15448,1,100
115,House,144,15448,1,100
115,House,145,15448,1,100
115,House,146,15448,1,100
115,House,147,15448,6,100
115,House,148,15448,1,100
115,House,149,15448,9,100
115,House,150,15448,1,100
115,House,151,15448,6,100
115,House,152,15448,1,100
115,House,153,15448,1,100
115,House,154,15448,1,100
115,House,155,15448,1,100
115,House,156,15448,1,100
115,House,157,15448,6,100
115,House,158,15448,1,
115,House,159,15448,1,
115,House,160,15448,6,100
115,House,161,15448,6,100
115,House,162,15448,6,100
115,House,163,15448,6,50.9
115,House,164,15448,1,100
115,House,165,15448,1,99.6
115,House,166,15448,1,100
115,House,167,15448,6,99.6
115,House,168,15448,6,100
115,House,169,15448,9,
115,House,170,15448,9,
115,House,171,15448,6,37.2
115,House,172,15448,1,
115,House,173,15448,1,
115,House,174,15448,1,
115,House,175,15448,6,100
115,House,176,15448,6,100
115,House,177,15448,1,
115,House,178,15448,6,100
115,House,179,15448,6,100
115,House,180,15448,9,
115,House,181,15448,6,100
115,House,182,15448,1,100
115,House,183,15448,1,
115,House,184,15448,1,100
115,House,185,15448,6,100
115,House,186,15448,1,
115,House,187,15448,6,100
115,House,188,15448,6,100
115,House,189,15448,6,64.5
115,House,190,15448,6,100
115,House,191,15448,6,100
115,House,192,15448,1,
115,House,193,15448,6,70.9
115,House,194,15448,1,
115,House,195,15448,1,99.9
115,House,196,15448,6,100
115,House,197,15448,6,100
115,House,198,15448,6,100
115,House,199,15448,6,100
115,House,200,15448,6,100
115,House,201,15448,6,100
115,House,202,15448,6,100
115,House,203,15448,6,99.9
115,House,204,15448,1,100
115,House,205,15448,6,100
115,House,206,15448,1,100
115,House,207,15448,6,100
115,House,208,15448,1,
115,House,209,15448,9,
115,House,210,15448,6,100
115,House,211,15448,9,100
115,House,212,15448,9,100
115,House,213,15448,9,100
115,House,214,15448,1,100
115,House,215,15448,1,22.8
115,House,216,15448,6,100
115,House,217,15448,6,100
115,House,218,15448,6,100
115,House,219,15448,9,86.8
115,House,220,15448,1,
115,House,221,15448,1,
115,House,222,15448,9,
115,House,223,15448,6,100
115,House,224,15448,6,100
115,House,225,15448,1,95.4
115,House,226,15448,6,26.6
115,House,227,15448,6,43.4
115,House,228,15448,6,100
115,House,229,15448,6,100
115,House,230,15448,1,
115,House,231,15448,1,
115,House,232,15448,1,
115,House,233,15448,6,44.1
115,House,234,15448,6,100
115,House,235,15448,1,88.2
115,House,236,15448,1,
115,House,237,15448,1,
115,House,238,15448,1,
115,House,239,15448,6,100
115,House,240,15448,6,100
115,House,241,15448,1,
115,House,242,15448,1,100
115,House,243,15448,6,100
115,House,244,15448,6,48.2
