State,District,Party,Margin,Lean,Minority,Nat_Margin,Year,Fresh,Calculated_C6,Year1,Midterm,Avg_Def,DefxParty,DefxLean,DefxMin,DefxNat_Margin,DefxYear1,DefxFresh,DefxMid,Has_Pres,DefxHas_Pres,Avg_Def_Adj,Abs_lean
OH,15,1,-12.87149359,-0.08,0,-6.8,2010,1,-2.650116415,8,1,5.4522924,-1.48942575,0.11915406,0,10.1280951,-11.915406,-1.48942575,-1.48942575,1,-1.48942575,-1.48942575,0.08
IL,6,0,15.14092319,0.08,1,-10.6,2008,1,1.103245112,6,0,12.0435967,0,-0.246653461,-3.08316826,32.68158356,-18.49900956,-3.08316826,0,1,-3.08316826,-3.08316826,0.08
IA,4,0,21.13362334,0.08,1,-10.6,2008,0,0.792264694,6,0,17.9459459,0,0.225534475,2.81918094,-29.88331796,16.91508564,0,0,1,2.81918094,2.81918094,0.08
IL,6,0,27.29001585,0.08,1,6.8,2010,0,0.378932751,8,1,13.9563863,0,-0.25661733,-3.207716622,-21.81247303,-25.66173298,0,-3.207716622,0,0,-3.207716622,0.08
IA,4,0,33.66950658,0.08,1,6.8,2010,0,0.573239789,8,1,20.3545232,0,0.255233622,3.190420278,21.69485789,25.52336222,0,3.190420278,0,0,3.190420278,0.08
FL,27,0,23.22968576,-0.16693,0,-1.2,2012,0,0.739178148,10,0,15.959468,0,0.046412103,0,0.333639992,-2.780333268,0,0,0,0,-0.278033327,0.16693
OR,5,1,14.44814435,0.19993,1,-5.7,2014,0,0.128384571,12,1,24.9152542,7.56995509,1.513461121,7.56995509,-43.14874401,90.83946108,0,7.56995509,1,7.56995509,7.56995509,0.19993
OR,4,1,23.40007842,-0.2333307,1,-2.6,2004,0,0.644381406,2,0,15.1642797,2.646348575,-0.617474365,2.646348575,-6.880506294,5.292697149,0,0,0,0,2.646348575,0.2333307
OR,4,1,24.63513458,-0.2333307,1,8,2006,0,0.120086605,4,1,15.1260504,1.692826965,-0.394988501,1.692826965,13.54261572,6.771307859,0,1.692826965,0,0,1.692826965,0.2333307
AR,4,0,-49.46269144,0.2333337,0,-8,2006,0,-2.839417947,4,1,19.470538,0,1.990331299,0,-68.23982303,34.11991151,0,8.529977878,1,8.529977878,8.529977878,0.2333337
AR,4,1,49.46269144,-0.2333337,1,8,2006,0,1.368426236,4,1,19.470538,6.037314565,-1.408708945,6.037314565,48.29851652,24.14925826,0,6.037314565,0,0,6.037314565,0.2333337
IL,12,1,-10.57414489,-0.30021,1,-5.7,2014,1,-0.764718772,12,1,21.4529915,4.10769239,-1.233170332,4.10769239,-23.41384662,49.29230868,4.10769239,4.10769239,1,4.10769239,4.10769239,0.30021
OR,5,1,8.53463908,0.4333343,1,-2.6,2004,0,-0.418711723,2,0,13.2996633,0.781732175,0.338751365,0.781732175,-2.032503654,1.563464349,0,0,0,0,0.781732175,0.4333343
OR,5,1,11.22159613,0.4333343,1,8,2006,0,-1.101221498,4,1,10.9623431,-2.470880335,-1.0707172,-2.470880335,-19.76704268,-9.883521341,0,-2.470880335,0,0,-2.470880335,0.4333343
NY,18,1,5.201510323,-0.46658,1,-5.7,2014,1,-0.019850235,12,1,25.7601351,8.41483599,-3.926194176,8.41483599,-47.96456514,100.9780319,8.41483599,8.41483599,1,8.41483599,8.41483599,0.46658
CA,10,0,-4.502027941,0.48,0,-8.6,2018,0,-1.12871899,16,1,8.841733,0,1.063124312,0,-19.04764393,35.43747707,0,2.214842317,1,2.214842317,2.214842317,0.48
CA,10,0,3.400914817,0.48,0,1.1,2016,0,-1.117738265,14,0,9.382151,0,0.558641886,0,1.280220988,16.29372166,0,0,0,0,1.163837262,0.48
IA,3,1,-8.625743844,-0.49992,1,1.2,2012,0,-1.076738339,10,0,23.5516373,7.316103604,-3.657466514,7.316103604,8.779324325,73.16103604,0,0,1,7.316103604,7.316103604,0.49992
IA,3,0,8.625743844,0.49992,0,-1.2,2012,0,-0.191392758,10,0,17.1482412,0,0.455297077,0,-1.092887848,9.107398732,0,0,0,0,0.910739873,0.49992
IA,3,1,8.371877677,0.5,1,-4.8,2002,0,-0.189918921,0,1,20.3853955,1.004178183,0.502089092,1.004178183,-4.82005528,0,0,1.004178183,0,0,1.004178183,0.5
NM,1,0,10.68374339,-0.5,0,4.8,2002,0,-0.599642502,0,1,9.5286885,0,-0.035671668,0,0.342448012,0,0,0.071343336,1,0.071343336,0.071343336,0.5
PA,15,0,14.72282238,-0.5,0,4.8,2002,0,-0.147345301,0,1,11.3660063,0,-0.954330568,0,9.161573452,0,0,1.908661136,1,1.908661136,1.908661136,0.5
NH,2,0,15.95124991,-0.5,0,4.8,2002,0,-0.040126063,0,1,11.122449,0,-0.832551918,0,7.992498412,0,0,1.665103836,1,1.665103836,1.665103836,0.5
AR,4,1,21.12465007,0.5,1,-4.8,2002,1,0.584306231,0,1,23.8624874,4.481270083,2.240635042,4.481270083,-21.5100964,0,4.481270083,4.481270083,0,0,4.481270083,0.5
TX,27,1,24.55685373,-0.5,1,-4.8,2002,0,0.618234893,0,1,21.0691824,1.687965083,-0.843982542,1.687965083,-8.1022324,0,0,1.687965083,0,0,1.687965083,0.5
WI,7,1,28.44684258,0.5,1,-4.8,2002,0,0.92359338,0,1,17.5438596,-1.837357717,-0.918678858,-1.837357717,8.81931704,0,0,-1.837357717,0,0,-1.837357717,0.5
TN,6,1,33.62195149,-0.5,1,-4.8,2002,0,0.948784654,0,1,23.2832618,3.902044483,-1.951022242,3.902044483,-18.72981352,0,0,3.902044483,0,0,3.902044483,0.5
TX,28,1,44.23421629,-0.5,1,-4.8,2002,0,1.910962303,0,1,17.1134021,-2.267815217,1.133907608,-2.267815217,10.88551304,0,0,-2.267815217,0,0,-2.267815217,0.5
FL,26,0,-10.62394004,-0.50023,0,-1.2,2012,0,-1.492252179,10,0,14.6217419,0,0.808251338,0,1.938911312,-16.15759427,0,0,0,0,-1.615759427,0.50023
NJ,3,0,8.861617946,0.56654,0,-1.2,2012,1,0.120989148,10,0,16.2673392,0,0.016904349,0,-0.035805448,0.298378732,0.029837873,0,0,0,0.029837873,0.56654
WA,3,1,23.85999814,-0.5666657,1,-2.6,2004,0,0.805355258,2,0,12.9991504,0.481219275,-0.272690457,0.481219275,-1.251170114,0.962438549,0,0,0,0,0.481219275,0.5666657
WA,3,1,26.24688814,-0.5666657,1,8,2006,0,0.272102098,4,1,13.4715026,0.038279165,-0.02169149,0.038279165,0.306233318,0.153116659,0,0.038279165,0,0,0.038279165,0.5666657
NY,3,1,10.03371056,-0.60007,1,-5.7,2014,0,-0.040340863,12,1,16.0100587,-1.33524041,0.801237713,-1.33524041,7.610870337,-16.02288492,0,-1.33524041,1,-1.33524041,-1.33524041,0.60007
FL,7,0,-2.956553703,-0.61,0,1.1,2016,0,-2.320127003,14,0,6.9254186,0,0.788666034,0,-1.422184652,-18.10053194,0,0,0,0,-1.292895138,0.61
FL,7,1,15.38383985,0.61,1,8.6,2018,1,-0.163650052,16,1,21.350211,5.703898614,3.479378154,5.703898614,49.05352808,91.26237782,5.703898614,5.703898614,0,0,5.703898614,0.61
NY,1,1,9.908567525,0.62,0,-6.8,2010,0,0.431435747,8,1,6.4214464,-0.52027175,-0.322568485,0,3.537847897,-4.162173996,0,-0.52027175,1,-0.52027175,-0.52027175,0.62
NY,1,1,12.80160899,0.62,0,10.6,2008,0,-2.576370888,6,0,3.6572052,-2.02939471,-1.25822472,0,-21.51158393,-12.17636826,0,0,0,0,-2.02939471,0.62
TX,28,1,14.39202169,0.62,0,-6.8,2010,0,1.014294727,8,1,7.1516646,0.20994645,0.130166799,0,-1.427635863,1.679571604,0,0.20994645,1,0.20994645,0.20994645,0.62
TX,28,1,39.48481139,0.62,0,10.6,2008,0,2.321335262,6,0,7.4357572,1.74915729,1.08447752,0,18.54106727,10.49494374,0,0,0,0,1.74915729,0.62
OR,5,1,11.58825502,-0.63332,1,1.2,2012,0,-0.196781952,10,0,25.6625727,9.427039004,-5.970332342,9.427039004,11.3124468,94.27039004,0,0,1,9.427039004,9.427039004,0.63332
