State,District,Party,Margin,Lean,Minority,Nat_Margin,Year,Fresh,Calculated_C6,Year1,Midterm,Avg_Def,DefxParty,DefxLean,DefxMin,DefxNat_Margin,DefxYear1,DefxFresh,DefxMid,Has_Pres,DefxHas_Pres,Avg_Def_Adj
AK,0,0,57.23043144,31.5,0,4.8,2002,0,2.270174179,0,1,7.9462103,0,-47.60074822,0,-7.253447348,0,0,-1.511134864,1,-1.511134864,-1.511134864
AL,2,0,39.22964382,23.5,0,4.8,2002,0,0.684014261,0,1,8.3870968,0,-25.15083656,0,-5.137192148,0,0,-1.070248364,1,-1.070248364,-1.070248364
AZ,3,0,37.02961779,12.5,0,4.8,2002,0,1.315922274,0,1,8.6419753,0,-10.1921233,0,-3.913775348,0,0,-0.815369864,1,-0.815369864,-0.815369864
AZ,5,0,24.91637811,11.5,0,4.8,2002,0,-0.004112687,0,1,6.9958848,0,-28.30679419,0,-11.81500975,0,0,-2.461460364,1,-2.461460364,-2.461460364
AZ,6,0,34.37382066,24.5,0,4.8,2002,0,0.009253942,0,1,18.2377049,0,215.1188135,0,42.14572673,0,0,8.780359736,1,8.780359736,8.780359736
AZ,8,0,29.73736205,4.5,0,4.8,2002,0,0.906800068,0,1,10.7833164,0,5.966870561,0,6.364661932,0,0,1.325971236,1,1.325971236,1.325971236
CA,2,0,36.47903456,28.5,0,4.8,2002,0,-0.06960835,0,1,8.2635983,0,-34.02178563,0,-5.729984948,0,0,-1.193746864,1,-1.193746864,-1.193746864
CA,4,0,32.88184993,23.5,0,4.8,2002,0,-0.092620333,0,1,6.5957447,0,-67.24761091,0,-13.73568223,0,0,-2.861600464,1,-2.861600464,-2.861600464
CA,11,0,20.62935455,8.5,0,4.8,2002,0,-0.262019072,0,1,8.3157895,0,-9.703223146,0,-5.479467188,0,0,-1.141555664,1,-1.141555664,-1.141555664
CA,19,0,37.26568738,19.5,0,4.8,2002,0,0.857147078,0,1,7.7257889,0,-33.76534715,0,-8.311470068,0,0,-1.731556264,1,-1.731556264,-1.731556264
CA,22,0,49.59978087,31.5,0,4.8,2002,0,1.148580314,0,1,9.0621707,0,-12.44799562,0,-1.896837428,0,0,-0.395174464,1,-0.395174464,-0.395174464
CA,24,0,33.42053771,11.5,0,4.8,2002,0,1.121811734,0,1,7.5550892,0,-21.87594359,0,-9.130828628,0,0,-1.902255964,1,-1.902255964,-1.902255964
CA,25,0,33.86066787,14.5,0,4.8,2002,0,1.018878416,0,1,6.6530194,0,-40.66272358,0,-13.46076367,0,0,-2.804325764,1,-2.804325764,-2.804325764
CA,26,0,30.28088009,9.5,0,4.8,2002,0,0.94741198,0,1,7.1355759,0,-22.05680801,0,-11.14449247,0,0,-2.321769264,1,-2.321769264,-2.321769264
CA,40,0,38.17054785,15.5,0,4.8,2002,0,0.889781923,0,1,11.6615067,0,34.1645038,0,10.57997537,0,0,2.204161536,1,2.204161536,2.204161536
CA,41,0,37.75538061,15.5,0,4.8,2002,0,1.235706226,0,1,8.0610022,0,-21.64331595,0,-6.702446228,0,0,-1.396342964,1,-1.396342964,-1.396342964
CA,42,0,38.82103466,20.5,0,4.8,2002,0,1.269081401,0,1,5.8823529,0,-73.28734142,0,-17.15996287,0,0,-3.574992264,1,-3.574992264,-3.574992264
