State,District,Party,Average,Margin,,State,District,2012,2008
AK,0,-1,0.920537897,57.23043144,,AK,0,-25,-31
AL,2,-1,0.916129032,39.22964382,,AL,2,-34,-23
AL,5,1,0.71383975,48.57432713,,AL,5,-21,-10
AR,1,1,0.738383838,33.67240722,,AR,1,-5,2
AR,4,1,0.761375126,21.12465007,,AR,4,-3,1
AZ,3,-1,0.913580247,37.02961779,,AZ,3,-17,-12
AZ,4,1,0.814213198,39.56103837,,AZ,4,24,28
AZ,5,-1,0.930041152,24.91637811,,AZ,5,-9,-11
AZ,6,-1,0.817622951,34.37382066,,AZ,6,-29,-24
AZ,8,-1,0.892166836,29.73736205,,AZ,8,-7,-4
CA,1,1,0.787564767,31.66897028,,CA,1,22,13
CA,2,-1,0.917364017,36.47903456,,CA,2,-25,-28
CA,4,-1,0.934042553,32.88184993,,CA,4,-24,-23
CA,5,1,0.848453608,44.06283725,,CA,5,23,25
CA,6,1,0.832471562,37.07620143,,CA,6,42,32
CA,7,1,0.814054054,44.27429612,,CA,7,35,35
CA,8,1,0.848704663,67.0782406,,CA,8,71,62
CA,11,-1,0.916842105,20.62935455,,CA,11,-9,-8
CA,12,1,0.85881104,43.36963816,,CA,12,45,38
CA,13,1,0.789001122,48.99895665,,CA,13,43,37
CA,14,1,0.829218107,40.02201796,,CA,14,38,28
CA,15,1,0.823045267,34.75440153,,CA,15,27,24
CA,16,1,0.816959669,37.2159354,,CA,16,27,31
CA,17,1,0.839430894,41.05803237,,CA,17,33,27
CA,19,-1,0.922742111,37.26568738,,CA,19,-23,-19
CA,20,1,0.757543103,29.42222817,,CA,20,3,11
CA,21,1,0.818274112,-44.25192032,,CA,21,-31,-24
CA,22,-1,0.909378293,49.59978087,,CA,22,-37,-31
CA,23,1,0.836400818,20.43372662,,CA,23,18,14
CA,24,-1,0.924449108,33.42053771,,CA,24,-13,-11
CA,25,-1,0.933469806,33.86066787,,CA,25,-19,-14
CA,26,-1,0.928644241,30.28088009,,CA,26,-11,-9
CA,27,1,0.839468303,23.92575168,,CA,27,20,24
CA,28,1,0.852334419,48.24052029,,CA,28,43,49
CA,29,1,0.818274112,29.1424293,,CA,29,24,20
CA,30,1,0.849344978,40.74237714,,CA,30,33,40
CA,31,1,0.856823266,62.30388293,,CA,31,55,58
CA,32,1,0.834381551,41.33099825,,CA,32,25,36
CA,33,1,0.842239186,68.45140102,,CA,33,67,69
CA,34,1,0.850051706,48.07365095,,CA,34,39,46
CA,35,1,0.783460283,58.14018221,,CA,35,59,65
CA,36,1,0.797927461,26.34416456,,CA,36,19,18
CA,37,1,0.814054054,49.75290764,,CA,37,49,54
CA,38,1,0.843360996,44.84305952,,CA,38,31,42
CA,40,-1,0.883384933,38.17054785,,CA,40,-21,-15
CA,41,-1,0.919389978,37.75538061,,CA,41,-25,-15
CA,42,-1,0.941176471,38.82103466,,CA,42,-25,-20
CA,43,1,0.834016393,35.92771437,,CA,43,17,30
CA,44,-1,0.924686192,32.09699244,,CA,44,-19,-9
CA,45,-1,0.898305085,32.50806917,,CA,45,-13,-4
CA,46,-1,0.890704801,27.18463677,,CA,46,-15,-13
CA,47,1,0.805970149,25.86993075,,CA,47,-1,14
CA,50,-1,0.923868313,31.98591786,,CA,50,-11,-11
CA,51,1,0.78238342,18.59281816,,CA,51,7,16
CA,52,-1,0.919354839,44.39678126,,CA,52,-23,-17
CA,53,1,0.818274112,24.41125839,,CA,53,23,20
CO,1,1,0.8170347,36.67888624,,CO,1,37,28
CO,2,1,0.813594233,23.32596997,,CO,2,17,9
CO,3,-1,0.925965665,34.53333456,,CO,3,-11,-15
CO,5,-1,0.823834197,44.68937659,,CO,5,-33,-32
CT,1,1,0.825102881,33.58157154,,CT,1,21,29
CT,2,-1,0.860824742,8.180260516,,CT,2,10,14
CT,3,1,0.853658537,36.03720248,,CT,3,14,26
CT,4,-1,0.840206186,28.86024076,,CT,4,6,10
CT,5,1,0.796450939,-10.98570569,,CT,5,0,9
CT,5,-1,0.840625,10.98570569,,CT,5,0,9
DE,0,-1,0.851214575,45.3553994,,DE,0,7,13
FL,1,-1,0.911564626,49.19365086,,FL,1,-44,-38
FL,2,1,0.766700925,33.80642722,,FL,2,-8,-6
FL,3,1,0.834242094,18.57411888,,FL,3,30,30
FL,5,1,0.806047967,-1.664893137,,FL,5,-17,-8
FL,6,-1,0.904963041,30.71056616,,FL,6,-22,-16
FL,7,-1,0.924586777,19.15537468,,FL,7,-14,-8
FL,8,-1,0.939873418,30.27384544,,FL,8,-10,-8
FL,9,-1,0.921243523,42.9293526,,FL,9,-14,-8
FL,15,-1,0.912371134,26.30112526,,FL,15,-14,-8
FL,18,-1,0.913755459,40.49750646,,FL,18,-8,-14
FL,19,1,0.863088719,44.31830737,,FL,19,32,46
FL,22,-1,0.913989637,22.41438869,,FL,22,4,4
FL,23,1,0.814109742,54.97997394,,FL,23,52,60
FL,25,-1,0.918803419,29.29495585,,FL,25,-12,-10
GA,1,-1,0.921360255,44.28723545,,GA,1,-32,-24
GA,6,-1,0.921668362,59.74776412,,GA,6,-41,-36
GA,7,-1,0.944444444,57.84261956,,GA,7,-40,-38
GA,8,-1,0.899371069,56.66173795,,GA,8,-22,-16
GA,9,-1,0.91350211,45.68513826,,GA,9,-54,-42
