State,District,Party,Average,Margin,,,
AZ,4,1,0.8718802,48.59557416,,AZ,4
AZ,7,1,0.898148148,25.74111386,,AZ,5
AR,1,1,0.784232365,38.52911156,,AZ,7
AR,2,1,0.856027754,21.0559226,,AZ,8
AR,4,1,0.80529462,49.46269144,,CA,1
CA,1,1,0.884647303,37.2470694,,CA,5
CA,5,1,0.922535211,47.27801375,,CA,6
CA,6,1,0.891800507,44.1089414,,CA,7
CA,8,1,1,69.66837992,,CA,8
CA,10,1,0.904166667,32.89199809,,CA,10
CA,12,1,0.92109777,52.09188039,,CA,11
CA,13,1,0.871956718,49.77450523,,CA,12
CA,14,1,0.919174549,46.86189097,,CA,13
CA,15,1,0.907861369,44.66998084,,CA,14
CA,16,1,0.897009967,45.42073659,,CA,15
CA,17,1,0.905360134,53.24653312,,CA,16
CA,18,1,0.813953488,30.95397974,,CA,17
CA,23,1,0.918987342,30.34621134,,CA,20
CA,27,1,0.901420217,37.54045307,,CA,23
CA,28,1,0.919298246,54.82775217,,CA,27
CA,29,1,0.908547009,36.05088256,,CA,29
CA,30,1,0.920444825,45.04708738,,CA,33
CA,34,1,0.917253521,53.59601171,,CA,34
CA,36,1,0.878005343,31.44992868,,CA,35
CA,38,1,0.916811092,50.66181702,,CA,36
CA,43,1,0.871134021,28.9787442,,CA,43
CA,47,1,0.890339426,24.66179135,,CA,47
CA,51,1,0.891638225,37.27846408,,CA,51
CA,53,1,0.912637829,37.55809041,,CA,53
CO,2,1,0.868178002,39.93350828,,CO,1
CO,3,1,0.819256757,25.03930917,,CO,3
CT,1,1,0.908348457,48.90795406,,CO,7
CT,3,1,0.920568562,53.58469211,,CT,1
GA,2,1,0.813242784,35.7462738,,CT,2
GA,12,1,0.762343096,0.606579705,,CT,3
GA,13,1,0.83106961,38.4766347,,CT,5
HI,1,1,0.8560477,38.70781478,,FL,2
IL,1,1,0.894594595,68.11961451,,FL,11
IL,2,1,0.904052936,73.01988521,,FL,16
IL,3,1,0.845704754,54.19558055,,FL,19
IL,4,1,0.901941748,71.68045971,,FL,22
IL,5,1,0.909787234,55.98883894,,FL,23
IL,7,1,0.889276373,73.40843944,,GA,2
IL,8,1,0.796342477,6.889538371,,GA,8
IL,9,1,0.886247878,49.1728036,,GA,12
IN,1,1,0.869565217,42.81149946,,GA,13
IN,7,1,0.90608229,7.512189509,,HI,1
IA,3,1,0.814018692,5.400256408,,HI,2
KS,3,1,0.850973751,30.92286269,,IL,1
LA,2,1,0.866548043,21.05390402,,IL,2
LA,3,1,0.747647562,14.72372388,,IL,3
