State,District,Party,Average,Margin,,AL,7,1,0.838896021,51.76345096
AZ,1,1,0.828930818,-5.985862735,,CA,53,1,0.875549969,22.86298904
AZ,4,1,0.948148148,39.41375521,,CO,1,1,0.876111817,41.45831538
AZ,5,1,0.771165644,-8.775029446,,CO,2,1,0.833668679,17.10683619
AZ,7,1,0.939620081,6.000854572,,CO,7,1,0.804831532,12.72663284
AZ,8,1,0.847102343,1.465557977,,CT,1,1,0.865234375,37.20414326
AR,4,1,0.912936849,17.37624485,,CT,2,1,0.850031506,33.89784587
CA,1,1,0.94895449,31.75896876,,CT,3,1,0.882611425,42.37438251
CA,5,1,0.958971219,46.77396903,,CT,4,1,0.831347962,16.97735762
CA,6,1,0.931168831,36.32175898,,DE,0,1,0.825566751,30.96848675
CA,7,1,0.947798742,36.6469679,,GA,2,1,0.749517064,27.56730065
CA,8,1,0.990566038,64.97310392,,GA,4,1,0.878175896,47.13598354
CA,10,1,0.960544218,20.98577453,,GA,5,1,0.864361702,68.78612717
CA,11,1,0.923409512,1.105183719,,GA,12,1,0.621013133,7.400017752
CA,12,1,0.933697881,53.47381712,,GA,13,1,0.853071564,43.4889784
CA,13,1,0.91047041,44.22915475,,HI,1,1,0.87076537,9.033119756
CA,14,1,0.954915466,41.25755589,,IL,1,1,0.852550664,47.64464974
CA,15,1,0.938053097,35.19492002,,IL,2,1,0.847030106,40.03466437
CA,16,1,0.934895833,43.52740648,,IL,3,1,0.78380102,36.96661499
CA,17,1,0.947826087,36.80159875,,IL,4,1,0.862552595,66.00689058
CA,18,1,0.935963777,16.96810603,,IL,5,1,0.84697733,37.1481302
CA,20,1,0.916666667,3.409954832,,IL,7,1,0.859239493,73.65475588
CA,23,1,0.958046337,20.1712989,,IL,9,1,0.866792929,32.65579105
CA,27,1,0.949969117,30.30136154,,IN,1,1,0.821635544,34.56639693
CA,28,1,0.958519464,47.11935613,,IN,7,1,0.854533594,25.70032952
CA,29,1,0.959682346,32.79421074,,IA,1,1,0.846858639,15.34019532
CA,30,1,0.952380952,32.68810963,,IA,2,1,0.821656051,13.08399449
CA,31,1,0.950757576,67.63879437,,IA,3,1,0.764483627,-8.625743844
CA,34,1,0.954629062,54.45853137,,KY,3,1,0.866580311,29.42235694
CA,35,1,0.933422104,58.66897343,,KY,6,1,0.690932312,-3.889108911
CA,36,1,0.954727031,24.8824433,,LA,2,1,0.840336134,51.21070178
CA,37,1,0.950726469,45.12500199,,LA,2,1,0.840336134,41.65593658
CA,38,1,0.946317104,46.90997232,,ME,1,1,0.858702633,28.34745151
CA,43,1,0.956331878,30.9925549,,ME,2,1,0.811166876,15.67686707
CA,47,1,0.944225722,13.7076099,,MD,2,1,0.830939948,34.47219031
CA,51,1,0.935105068,20.1054782,,MD,3,1,0.875469337,37.26579524
CA,53,1,0.966195452,28.26030132,,MD,4,1,0.857413249,56.44244845
CO,1,1,0.958782498,38.66455516,,MD,5,1,0.890019072,41.69245535
CO,2,1,0.94081381,19.51442668,,MD,7,1,0.870006341,55.69949787
CO,3,1,0.939470366,-4.344590483,,MD,8,1,0.883248731,30.44316778
CO,4,1,0.909544604,-11.12305578,,MA,6,1,0.862002567,1.110677898
CO,7,1,0.948254364,11.68872444,,MI,5,1,0.880699563,33.50033016
CT,1,1,0.956410256,20.55495094,,MN,1,1,0.814321926,15.19798738
CT,3,1,0.951911221,27.38907192,,MN,4,1,0.857518056,30.7553931
CT,4,1,0.909943715,4.009365613,,MN,5,1,0.877591973,49.25121246
CT,5,1,0.944891641,7.100214251,,MN,7,1,0.53968254,25.53300608
FL,2,1,0.923376623,-12.24659839,,MS,2,1,0.834089436,36.16554877
FL,3,1,0.948332243,29.14950666,,MO,1,1,0.851659076,60.80602966
FL,8,1,0.942750467,-17.8978769,,MO,5,1,0.857050032,23.61169027
FL,11,1,0.937539038,19.2699729,,NJ,1,1,0.857884491,38.25080465
FL,19,1,0.969411765,25.28439915,,NJ,6,1,0.8725,28.13493686
FL,20,1,0.958651399,22.04571224,,NJ,10,1,0.847704367,77.00773711
FL,22,1,0.945658963,-8.727262751,,NJ,12,1,0.863693467,39.73350633
FL,23,1,0.955019557,57.74572397,,NY,1,1,0.857976654,9.344553904
FL,24,1,0.906269398,-19.32082063,,NY,4,1,0.853156146,22.57482871
GA,2,1,0.946936197,2.881808399,,NC,1,1,0.860465116,52.4619453
GA,4,1,0.950127877,49.3310364,,NC,4,1,0.87100814,48.94988307
GA,5,1,0.952580195,47.43974206,,NC,7,1,0.628238342,0.194217428
GA,8,1,0.853233831,-5.394318531,,NC,8,1,0.666036547,-7.792774911
GA,12,1,0.912989434,13.17098845,,NC,12,1,0.862556198,59.26962317
GA,13,1,0.958205286,38.86026774,,OH,9,1,0.851439791,50.0070431
HI,2,1,0.951204447,46.86616682,,OR,1,1,0.90192926,26.55159949
ID,1,1,0.684210526,-9.73862998,,OR,3,1,0.855167874,54.6972954
IL,1,1,0.946538725,64.49350818,,OR,4,1,0.79987253,20.08314634
IL,2,1,0.946063236,66.68857856,,OR,5,1,0.743374273,11.58825502
IL,3,1,0.926507538,45.39540411,,PA,1,1,0.873896595,69.89700543
IL,4,1,0.937679083,63.04039515,,PA,2,1,0.868978805,79.9119494
IL,5,1,0.938515901,45.24717307,,PA,12,1,0.71419598,-3.470515517
IL,7,1,0.95155939,65.41835963,,PA,13,1,0.873303167,38.17503184
IL,8,1,0.886204704,-0.14325586,,PA,14,1,0.852280026,53.78867883
IL,11,1,0.903481979,-14.69792606,,RI,1,1,0.875870804,12.1273432
IL,12,1,0.921204356,23.29789596,,RI,2,1,0.875237492,20.60450912
IL,14,1,0.901159243,-6.266294695,,TN,5,1,0.731615336,32.45253616
IL,17,1,0.95412844,-9.617492383,,TN,9,1,0.856683805,51.26958767
IN,1,1,0.939468808,19.9337682,,TX,9,1,0.836398224,58.79955983
IN,2,1,0.850091408,1.338671139,,TX,15,1,0.833219412,24.02820109
IN,7,1,0.95599022,21.08888722,,TX,18,1,0.837912088,52.43264318
IN,9,1,0.847309136,-10.05932639,,TX,28,1,0.698810269,38.12188717
IA,1,1,0.947708199,1.995713649,,TX,30,1,0.846153846,59.82885897
IA,2,1,0.945794393,5.070980522,,VT,0,1,0.846496815,48.65192063
IA,3,1,0.947728687,4.245792421,,VA,3,1,0.856603774,62.79253518
KS,3,1,0.946550653,-19.74108923,,VA,8,1,0.845956354,34.02090624
KY,3,1,0.953778888,10.67205877,,VA,11,1,0.844611529,25.49459281
KY,6,1,0.910780669,0.270876964,,WA,1,1,0.890909091,7.872350798
ME,1,1,0.944549464,13.64422809,,WA,2,1,0.831340466,22.28349504
ME,2,1,0.915750916,10.26316875,,WA,7,1,0.861871419,59.30802499
MD,1,1,0.814747105,-12.10479338,,WA,9,1,0.840052016,43.2346656
MD,2,1,0.953757225,30.9280818,,WV,3,1,0.72778828,7.963100625
MD,3,1,0.957946815,25.05954131,,WI,3,1,0.808673469,28.25461202
MD,4,1,0.937118437,67.05603583,,WI,4,1,0.864756829,47.4142694
MD,5,1,1,29.63547557,,AL,4,-1,0.855884204,48.0699916
MD,7,1,0.950870647,52.34404239,,AL,5,-1,0.842866122,30.00861675
MD,8,1,0.966769231,48.26319831,,AL,6,-1,0.860374919,42.51676393
MA,1,1,0.948511166,25.11810802,,AK,0,-1,0.796929518,35.32352901
MA,2,1,0.951684679,14.73071678,,AR,1,-1,0.861460957,17.09548174
MA,3,1,0.949068323,17.29176635,,AR,2,-1,0.856872636,15.70806496
MA,4,1,0.943563729,10.54000607,,CA,4,-1,0.792110207,22.21830899
MA,5,1,0.953634085,12.59301251,,CA,25,-1,0.870322581,9.557645567
MA,6,1,0.942391985,13.86086562,,CA,49,-1,0.876354366,16.32522267
MA,7,1,0.951732673,32.92760204,,CO,3,-1,0.832185348,12.28865908
MA,9,1,0.945707071,42.22660938,,CO,4,-1,0.837872071,21.67636474
MI,4,1,0.828553616,-35.69047131,,CO,6,-1,0.833647207,2.041619765
MI,5,1,0.953219927,8.704508486,,FL,1,-1,0.839871383,42.46396609
MI,7,1,0.917992656,-4.778237153,,FL,2,-1,0.836670839,5.460298815
MI,9,1,0.910921293,2.535127647,,FL,7,-1,0.861895794,17.4168539
MI,12,1,0.96076027,26.11198479,,GA,1,-1,0.84157161,25.95640676
MI,14,1,0.939226519,56.89137283,,GA,6,-1,0.857142857,29.0116109
MI,15,1,0.952110901,16.72899395,,GA,7,-1,0.827455919,24.32378821
MN,1,1,0.939412485,5.291425576,,GA,11,-1,0.851876234,37.10658114
MN,4,1,0.951875,24.45922239,,ID,1,-1,0.805101373,32.18954042
MN,5,1,0.938070404,43.5256231,,ID,2,-1,0.838095238,30.31925248
MN,7,1,0.895743368,17.60453262,,IL,6,-1,0.868020305,18.44270212
MN,8,1,0.940809969,-1.587622392,,IL,8,-1,0.801801802,-9.484329041
MS,1,1,0.778678304,-14.4623516,,IL,10,-1,0.762690355,-1.257685647
MS,2,1,0.950310559,23.82641985,,IL,14,-1,0.842830307,17.63579883
MS,4,1,0.744051447,-5.098729497,,IL,15,-1,0.698583951,37.21214788
MO,1,1,0.943698017,49.9288339,,IL,17,-1,0.826003824,-6.557445317
MO,3,1,0.959702418,2.285250018,,IL,18,-1,0.838138925,48.32767549
MO,4,1,0.917391304,-5.3128999,,IN,3,-1,0.828425096,34.08175281
MO,5,1,0.945454545,9.141012313,,IN,4,-1,0.857798165,27.79357104
NV,1,1,0.954174513,26.46495939,,IN,8,-1,0.867044739,10.28479675
NV,3,1,0.936469151,-0.6525456,,IN,9,-1,0.874371859,10.89409082
NH,1,1,0.942875078,-11.61670901,,KS,2,-1,0.865519439,18.29237568
NJ,1,1,0.95964691,28.39059352,,KS,4,-1,0.857769424,30.63625339
NJ,6,1,0.955362678,11.03820609,,KY,1,-1,0.857780612,39.26694642
NJ,9,1,0.960600375,22.87503815,,KY,2,-1,0.863979849,32.58156285
NJ,10,1,0.940298507,72.34909767,,KY,4,-1,0.690909091,27.15098649
NJ,12,1,0.950617284,7.146988755,,KY,5,-1,0.857142857,55.79358594
NJ,13,1,0.954169319,51.06608802,,LA,1,-1,0.862373737,45.38170173
NM,1,1,0.940745266,3.605041045,,LA,3,-1,0.825706595,8.496337426
NM,2,1,0.87680704,-10.80636895,,MD,1,-1,0.804785894,59.02001421
NY,1,1,0.935785536,9.908567525,,MD,1,-1,0.804785894,35.94031265
NY,2,1,0.956712673,20.67109863,,MD,6,-1,0.824246312,-20.87165521
NY,4,1,0.949221395,14.27493433,,MI,1,-1,0.831969792,0.542017134
NY,5,1,0.96005239,29.25590857,,MI,2,-1,0.831959417,26.92079292
NY,6,1,0.954282035,67.25551881,,MI,3,-1,0.686641698,8.448800581
NY,7,1,0.952291274,58.68675424,,MI,4,-1,0.849590938,29.52238224
NY,8,1,0.935785536,48.4363428,,MI,6,-1,0.830212235,11.97971761
NY,9,1,0.944896681,24.87905249,,MI,7,-1,0.852718078,10.3182014
NY,13,1,0.89243277,3.767899807,,MI,8,-1,0.864267677,21.31840234
NY,14,1,0.950326797,50.01428752,,MI,10,-1,0.83416771,39.05548184
NY,15,1,0.951892239,63.39987091,,MN,2,-1,0.873433584,8.159945989
NY,17,1,0.951979234,47.1184394,,MN,3,-1,0.848101266,16.30446427
NY,18,1,0.954826733,29.41119959,,MN,6,-1,0.84332534,1.209619516
NY,19,1,0.943589744,4.650084825,,MN,8,-1,0.846153846,-8.89434292
NY,20,1,0.859854015,-1.527160413,,MS,1,-1,0.865421764,23.50886385
NY,21,1,0.955406231,23.83262504,,MS,4,-1,0.865408805,35.26374058
NY,22,1,0.940115905,11.94830315,,MO,4,-1,0.853240152,24.82312227
NY,23,1,0.906701708,4.704399759,,MO,6,-1,0.857884491,32.48633454
NY,24,1,0.887920299,2.069507642,,MO,7,-1,0.871483376,32.96323022
NY,25,1,0.92936803,10.46968411,,MO,8,-1,0.825386598,47.38091354
NY,27,1,0.959209688,27.23206263,,NE,1,-1,0.82516129,36.58134677
NY,28,1,0.950713359,33.84844247,,NE,2,-1,0.829867675,1.591394262
NC,1,1,0.93921945,18.61897899,,NE,3,-1,0.8654934,48.34282458
NC,2,1,0.947756607,-0.781455837,,NV,2,-1,0.88372093,21.38717849
NC,4,1,0.95970696,14.32355278,,NV,3,-1,0.815115553,7.493312491
NC,7,1,0.868307692,7.362272417,,NH,1,-1,0.859344894,-3.765267142
NC,8,1,0.932098765,9.344728324,,NH,2,-1,0.765044814,-4.830554189
NC,11,1,0.803605924,8.687999801,,NJ,2,-1,0.753433208,17.37128506
NC,12,1,0.939655172,29.7394557,,NJ,3,-1,0.837326608,8.861617946
NC,13,1,0.956869994,10.99607078,,NJ,4,-1,0.776932826,28.45872776
ND,0,1,0.946149029,-9.84158684,,NJ,5,-1,0.821700508,12.28796436
OH,1,1,0.913308913,-5.507200349,,NJ,7,-1,0.81948782,17.11761548
OH,6,1,0.94437421,-5.033199562,,NJ,11,-1,0.83557047,18.8279185
OH,9,1,0.927169094,18.70767192,,NM,2,-1,0.834183673,18.18859056
OH,10,1,0.884826325,9.178855234,,NC,2,-1,0.886591479,14.48087168
OH,11,1,0.946236559,65.85988471,,NC,3,-1,0.623409669,26.22166287
OH,13,1,0.956901936,11.46439746,,NC,5,-1,0.834375,15.08976309
OH,15,1,0.945477076,-12.87149359,,NC,6,-1,0.823039556,21.84660283
OH,16,1,0.907578558,-10.82008022,,NC,10,-1,0.882465057,13.97734501
OH,17,1,0.949526814,23.81441893,,OH,1,-1,0.851875,20.13548136
OH,18,1,0.896660365,-13.37190646,,OH,4,-1,0.842747112,21.86244002
OK,2,1,0.850727388,13.04765736,,OH,5,-1,0.873671044,18.10513871
OR,3,1,0.943266833,45.46377474,,OH,6,-1,0.851782364,6.502686258
OR,4,1,0.927619048,10.9172225,,OH,12,-1,0.829719388,26.93921416
OR,5,1,0.93285991,5.292076345,,OH,15,-1,0.835674157,23.11687689
PA,2,1,0.951702786,78.59672605,,OH,16,-1,0.829345088,4.093994631
PA,3,1,0.900559354,-11.44483227,,OK,3,-1,0.864642631,55.32475383
PA,4,1,0.857923497,1.627100111,,OK,4,-1,0.851104101,40.29255064
PA,8,1,0.937338501,-7.045262908,,OK,5,-1,0.863408521,21.43826167
PA,10,1,0.876419506,-10.35346354,,OR,2,-1,0.842336683,39.51844216
PA,11,1,0.937230769,-9.401114579,,PA,3,-1,0.853918495,13.84828471
PA,12,1,0.925531915,1.558096596,,PA,5,-1,0.833333333,25.84922026
PA,13,1,0.955362678,12.68314214,,PA,6,-1,0.787974684,14.2825636
PA,14,1,0.961587708,40.61306136,,PA,7,-1,0.808201893,18.79553319
PA,17,1,0.920674578,11.00118977,,PA,8,-1,0.746390458,13.20697937
RI,2,1,0.956736712,28.07179252,,PA,9,-1,0.850508906,23.34955615
SC,5,1,0.951204447,-10.31075055,,PA,10,-1,0.861167002,31.16841375
SC,6,1,0.958385093,26.45322912,,PA,11,-1,0.842305256,17.08847888
SD,0,1,0.883561644,-2.227119896,,PA,15,-1,0.805,13.50109497
TN,4,1,0.921885087,-18.50530487,,PA,16,-1,0.858778626,15.80407401
TN,5,1,0.869753086,14.1515746,,PA,18,-1,0.844849246,27.91045613
TN,9,1,0.941619586,48.88404605,,SC,1,-1,0.855708908,28.1897708
TX,3,1,0.866537718,-34.93698085,,SC,3,-1,0.837939698,33.27681021
TX,9,1,0.958358849,52.85769664,,SC,4,-1,0.851572327,33.39053671
TX,15,1,0.955479452,14.13613655,,SC,5,-1,0.807909605,14.53941145
TX,16,1,0.953578337,21.49790322,,SD,0,-1,0.854510801,14.8994685
TX,17,1,0.933879093,-25.23024525,,TN,2,-1,0.769278997,53.8258256
TX,18,1,0.944300518,42.8952943,,TN,3,-1,0.870393901,25.97651308
TX,20,1,0.95663105,29.16743505,,TN,4,-1,0.852479598,11.51220781
TX,23,1,0.948863636,-4.952683886,,TN,7,-1,0.86452426,47.04554111
TX,25,1,0.930232558,7.988501799,,TN,8,-1,0.853797468,39.87982335
TX,27,1,0.9494311,-0.748139039,,TX,1,-1,0.805648958,44.5008772
TX,28,1,0.928483354,14.39202169,,TX,4,-1,0.854153456,48.91888329
TX,29,1,0.950850662,30.51920894,,TX,5,-1,0.870705809,31.17370216
TX,30,1,0.947572816,54.09289512,,TX,6,-1,0.838521401,18.79121055
UT,2,1,0.888957434,4.427291173,,TX,7,-1,0.864846416,24.37435327
VT,0,1,0.920854271,32.53508077,,TX,8,-1,0.867353509,56.95712442
VA,3,1,0.945205479,42.83160464,,TX,10,-1,0.87444795,24.26832917
VA,5,1,0.868090452,-3.824070651,,TX,11,-1,0.861423221,60.06999288
VA,8,1,0.944972826,23.7271164,,TX,12,-1,0.855100715,44.23241506
VA,9,1,0.93263571,-4.805876405,,TX,21,-1,0.867721519,25.1530604
VA,11,1,0.933660934,0.432251896,,TX,22,-1,0.879495268,32.06914005
WA,1,1,0.952970297,15.33340682,,TX,23,-1,0.865019011,-4.750506065
WA,2,1,0.954488778,2.144668924,,TX,24,-1,0.843007916,25.02823536
WA,6,1,0.960600375,16.07846434,,TX,26,-1,0.809252218,39.58094178
WA,9,1,0.940241577,9.704158799,,TX,27,-1,0.851478918,17.53530432
WV,3,1,0.936809816,12.07729469,,TX,31,-1,0.861804223,26.29612921
WI,2,1,0.947923125,23.61048278,,TX,32,-1,0.86928934,18.82282344
WI,3,1,0.908468244,3.796451023,,UT,1,-1,0.831489915,46.78733179
WI,4,1,0.935732648,39.41125308,,UT,3,-1,0.836984536,53.21155706
WI,8,1,0.946507237,-9.641816702,,VA,1,-1,0.847812302,15.08074416
AK,0,-1,0.740665309,38.44457114,,VA,2,-1,0.831559173,7.658898785
AZ,2,-1,0.850306748,33.82691256,,VA,4,-1,0.851265823,14.02729927
AZ,6,-1,0.793278377,37.30567039,,VA,5,-1,0.854879594,12.58075729
CA,2,-1,0.859346083,14.30287412,,VA,6,-1,0.841409692,30.66722652
CA,3,-1,0.845823096,6.887507731,,VA,7,-1,1,17.01216782
CA,4,-1,0.828153565,29.82753123,,VA,9,-1,0.821405953,22.70186768
CA,24,-1,0.844205193,19.87900172,,VA,10,-1,0.820689655,19.65211601
CA,25,-1,0.841092489,23.6651754,,WA,3,-1,0.820125786,20.75921112
CA,26,-1,0.833230389,17.60572506,,WA,4,-1,0.879713914,32.44012341
CA,40,-1,0.850609756,33.57747896,,WA,5,-1,0.870804307,23.83643682
CA,41,-1,0.826410415,26.42941182,,WA,8,-1,0.786640726,19.30484293
CA,42,-1,0.838265657,30.35205824,,WV,1,-1,0.826910929,24.96696256
CA,44,-1,0.836014851,11.22701355,,WV,2,-1,0.843592965,39.5323814
CA,45,-1,0.822871349,9.347633716,,WI,1,-1,0.855025773,11.50748648
CA,46,-1,0.823261858,24.41565606,,WI,5,-1,0.804375,35.66941872
CA,48,-1,0.824197861,23.49053844,,WI,6,-1,0.805259862,24.33362521
CA,49,-1,0.858379716,31.30268825,,WI,7,-1,0.835025381,12.28796477
CA,50,-1,0.817777778,17.69508645,,WI,8,-1,0.830497795,11.98067877
CA,52,-1,0.852099817,31.02749455,,WY,0,-1,0.820578778,43.42999601
CO,5,-1,0.860036832,36.47917258,,,,,,
CO,6,-1,0.858199753,34.22462478,,,,,,
FL,7,-1,0.846153846,38.06220131,,,,,,
FL,9,-1,0.833026397,42.86651899,,,,,,
FL,10,-1,0.795604396,31.84138089,,,,,,
FL,13,-1,0.808933002,37.72018551,,,,,,
FL,14,-1,0.86574655,41.43419333,,,,,,
FL,15,-1,0.830384381,29.45680213,,,,,,
FL,16,-1,0.826887661,33.76049892,,,,,,
FL,18,-1,0.76747141,37.77044988,,,,,,
GA,1,-1,0.842105263,43.25765488,,,,,,
GA,3,-1,0.858891753,38.95821895,,,,,,
GA,10,-1,0.811949686,34.71632019,,,,,,
HI,1,-1,0.732590529,-6.455278945,,,,,,
ID,2,-1,0.793471438,44.42235764,,,,,,
IL,6,-1,0.860436137,27.29001585,,,,,,
IL,13,-1,0.797677262,27.6205576,,,,,,
IL,15,-1,0.772639692,28.64142665,,,,,,
IL,16,-1,0.849009901,33.96393136,,,,,,
