State,District,Party,Average,Margin,,AZ,4,-36.2,-33.2
AL,7,1,0.838896021,51.76345096,,AZ,7,45.2,37.6
AZ,2,1,0.867647059,0.83960873,,AR,1,-24.7,-21.7
AZ,3,1,0.854401059,21.22431801,,AR,2,-11.8,-10.9
CA,3,1,0.858447489,8.460986118,,AR,4,-25.9,-24
CA,5,1,0.847744361,48.94224663,,CA,1,-16.3,-12.7
CA,6,1,0.872807018,50.10487077,,CA,5,42.2,43.7
CA,9,1,0.859296482,11.10819094,,CA,6,40.8,40.1
CA,11,1,0.859191656,39.46345513,,CA,8,-13.9,-13.3
CA,12,1,1,70.16771355,,CA,10,3.6,3.6
CA,14,1,0.848295059,57.83307457,,CA,12,71.6,71.1
CA,16,1,0.635714286,14.81722618,,CA,13,78.5,77.5
CA,17,1,0.861237785,47.0894393,,CA,14,50.6,50.2
CA,18,1,0.861488673,40.97849199,,CA,15,38.2,38
CA,19,1,0.84625323,46.47155176,,CA,16,19.2,18.6
CA,20,1,0.868320611,48.13711135,,CA,17,46.4,43.9
CA,24,1,0.890082123,10.19455526,,CA,18,39.3,41.2
CA,28,1,0.878598248,52.97493829,,CA,23,-25.4,-24.9
CA,32,1,0.864349012,31.4000768,,CA,27,27.6,27.6
CA,34,1,0.877970456,71.23123978,,CA,28,43.8,44.3
CA,37,1,0.876758205,72.83496118,,CA,29,56.5,54
CA,46,1,0.861570248,27.74955779,,CA,30,33.2,34.3
CA,50,1,0.875549969,-35.3795883,,CA,34,68.9,64
CA,53,1,0.875549969,22.86298904,,CA,36,3.2,3.7
CO,1,1,0.876111817,41.45831538,,CA,38,31.9,29.9
CO,2,1,0.833668679,17.10683619,,CA,43,58,56
CO,7,1,0.804831532,12.72663284,,CA,47,22.5,21
CT,1,1,0.865234375,37.20414326,,CA,51,40.5,37.4
CT,2,1,0.850031506,33.89784587,,CA,53,25,25.4
CT,3,1,0.882611425,42.37438251,,CO,2,18.4,20.7
CT,4,1,0.831347962,16.97735762,,CO,3,-6,-4.1
DE,0,1,0.825566751,30.96848675,,CT,1,27.7,30.4
FL,5,1,0.861256545,44.49959688,,CT,3,26.3,26.4
FL,14,1,0.881168831,40.49914291,,GA,2,17.8,17
FL,23,1,0.881299735,27.63279236,,GA,12,-11.8,-12
GA,2,1,0.749517064,27.56730065,,GA,13,39.2,36.9
GA,4,1,0.878175896,47.13598354,,HI,1,40.7,41.4
GA,5,1,0.864361702,68.78612717,,IL,1,58.8,60.5
GA,12,1,0.621013133,7.400017752,,IL,2,62.2,62.5
GA,13,1,0.853071564,43.4889784,,IL,3,13.3,15.5
HI,1,1,0.87076537,9.033119756,,IL,4,63.8,62.7
IL,1,1,0.852550664,47.64464974,,IL,5,34.2,37.2
IL,2,1,0.847030106,40.03466437,,IL,7,75.4,77.3
IL,3,1,0.78380102,36.96661499,,IL,8,16.5,20.3
IL,4,1,0.862552595,66.00689058,,IL,9,31.7,34.7
IL,5,1,0.84697733,37.1481302,,IN,1,23.8,25.4
IL,7,1,0.859239493,73.65475588,,IN,7,27.5,30.1
IL,9,1,0.866792929,32.65579105,,IA,3,4.2,5.1
IL,13,1,0.859239493,-0.340370603,,KS,3,-9.5,-5.6
IN,1,1,0.821635544,34.56639693,,LA,2,53,50.4
IN,7,1,0.854533594,25.70032952,,LA,3,-33.8,-31.9
IA,1,1,0.846858639,15.34019532,,ME,1,21.4,22.1
IA,2,1,0.821656051,13.08399449,,ME,2,8.5,9.5
IA,3,1,0.764483627,-8.625743844,,MD,2,28.1,25.6
KY,2,1,0.845460845,-32.58156285,,MD,4,57.3,56.3
KY,3,1,0.866580311,29.42235694,,MD,8,26,26.4
KY,6,1,0.690932312,-3.889108911,,MA,6,10.8,13.3
LA,2,1,0.840336134,51.21070178,,MA,9,12.4,14.9
LA,2,1,0.840336134,41.65593658,,MI,1,-8.3,-3.1
LA,2,1,0.825706595,21.07887832,,MI,5,22.4,25.4
LA,2,1,0.825706595,11.52411311,,MI,12,33.4,34.8
LA,3,1,0.840336134,-23.13892734,,MI,14,62.4,63.9
LA,3,1,0.840336134,-8.496337426,,MN,4,27,27
ME,1,1,0.858702633,28.34745151,,MN,7,-9.8,-6.3
ME,2,1,0.811166876,15.67686707,,MN,8,5.5,7.2
MD,2,1,0.830939948,34.47219031,,MS,2,33.4,31.2
MD,3,1,0.875469337,37.26579524,,MS,4,-36.4,-36.7
MD,4,1,0.857413249,56.44244845,,MO,1,61,61.3
MD,5,1,0.890019072,41.69245535,,MO,3,-25.9,-19.7
MD,7,1,0.870006341,55.69949787,,MO,4,-24.8,-20.1
MD,8,1,0.883248731,30.44316778,,MO,5,19.5,22.1
MA,3,1,0.871994802,30.66058709,,NV,1,33.2,32.6
MA,5,1,0.870761356,47.92573332,,NJ,6,24,20.9
MA,6,1,0.862002567,1.110677898,,NJ,8,57.6,52.3
MA,8,1,0.842105263,48.89963249,,NJ,9,37.5,33.1
MA,9,1,0.846841098,24.94122587,,NJ,12,34.1,33.2
MI,5,1,0.880699563,33.50033016,,NM,3,18.8,20
MI,9,1,0.885143571,27.89253993,,NY,1,0.5,1.6
MI,12,1,0.846153846,38.97338224,,NY,2,4.4,3.6
MI,13,1,0.84921671,69.14799311,,NY,4,13.5,12.3
MI,14,1,0.828828829,66.62418794,,NY,7,78.1,73.4
MN,1,1,0.814321926,15.19798738,,NY,8,79,75.2
MN,4,1,0.857518056,30.7553931,,NY,14,62.4,57.7
MN,5,1,0.877591973,49.25121246,,NY,17,15.2,16.1
MN,7,1,0.53968254,25.53300608,,NY,18,4.3,4.4
