congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,Averages,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
115,House,20301,41,3,AL,200,0.927731092,,"ROGERS, Mike Dennis",R000575,1958,,0.353,0.459,-102.33747,0.89726,944,63,,0.397,0.482
115,House,21102,41,7,AL,100,0.835365854,,"SEWELL, Terri",S001185,1965,,-0.391,0.402,-90.44536,0.90469,903,34,,-0.398,0.356
115,House,21192,41,2,AL,200,0.956410256,,"ROBY, Martha",R000591,1976,,0.361,0.657,-65.14041,0.93298,939,23,,0.41,0.596
115,House,21193,41,5,AL,200,0.889478338,,"BROOKS, Mo",B001274,1954,,0.647,-0.447,-174.28487,0.82483,905,80,,0.672,-0.553
115,House,21376,41,1,AL,200,0.962468724,,"BYRNE, Bradley",B001289,1955,,0.612,0.242,-63.33087,0.9359,956,19,,0.577,0.429
115,House,21500,41,6,AL,200,0.93204698,,"PALMER, Gary James",P000609,1954,,0.71,-0.047,-70.70441,0.92784,944,38,,0.763,0.066
115,House,29701,41,4,AL,200,0.961106309,,"ADERHOLT, Robert",A000055,1965,,0.367,0.594,-68.69407,0.92798,919,22,,0.395,0.605
115,House,14066,81,1,AK,200,0.899570815,,"YOUNG, Donald Edwin",Y000033,1933,,0.284,0.021,-204.6232,0.80174,926,91,,0.277,0.315
115,House,20304,61,8,AZ,200,0.933333333,,"FRANKS, Trent",F000448,1957,,0.749,0.087,-45.67247,0.91933,543,23,,0.621,-0.006
115,House,20305,61,3,AZ,100,0.853097345,,"GRIJALVA, Raúl M.",G000551,1948,,-0.599,-0.256,-43.19475,0.95369,911,11,,-0.632,-0.216
115,House,21103,61,4,AZ,200,0.876190476,,"GOSAR, Paul",G000565,1958,,0.676,-0.419,-170.42604,0.82921,910,87,,0.991,-0.136
115,House,21105,61,6,AZ,200,0.938333333,,"SCHWEIKERT, David",S001183,1962,,0.59,-0.325,-112.00676,0.88922,954,37,,0.586,-0.294
115,House,21300,61,9,AZ,100,0.681610247,,"SINEMA, Kyrsten",S001191,1976,,-0.102,0.059,-263.27059,0.74368,889,134,,-0.097,0.124
115,House,21501,61,2,AZ,200,0.917094017,,"McSALLY, Martha",M001197,1966,,0.345,0.024,-141.96635,0.85969,939,84,,0.391,-0.029
115,House,21502,61,7,AZ,100,0.85386576,,"GALLEGO, Ruben",G000574,1979,,-0.452,-0.02,-99.57154,0.89857,931,40,,-0.432,-0.01
115,House,21705,61,5,AZ,200,0.836242727,,"BIGGS, Andrew S.",B001302,1958,,0.882,-0.471,-179.68458,0.82849,955,105,,0.991,-0.136
115,House,21739,61,1,AZ,100,0.77006689,,"O'HALLERAN, Thomas C.",O000171,1946,,-0.185,0.152,-195.5591,0.81413,951,83,,-0.167,0.128
115,House,21757,61,8,AZ,200,0.924471299,,"LESKO, Debbie",L000589,1958,,0.608,-0.036,-27.50815,0.8938,245,12,,0.718,-0.054
115,House,21106,42,1,AR,200,0.967493584,,"CRAWFORD, Rick",C001087,1966,,0.409,0.494,-66.52973,0.93075,927,27,,0.495,0.285
115,House,21108,42,3,AR,200,0.965202983,,"WOMACK, Steve",W000809,1957,,0.354,0.59,-68.59675,0.9309,958,21,,0.437,0.349
115,House,21503,42,2,AR,200,0.940486169,,"HILL, French",H001072,1956,,0.454,0.233,-93.16785,0.9063,947,47,,0.494,0.204
115,House,21563,42,4,AR,200,0.955833333,,"WESTERMAN, Bruce Eugene",W000821,1967,,0.549,0.35,-64.58592,0.93461,955,20,,0.59,0.174
115,House,15448,71,12,CA,100,1,,"PELOSI, Nancy",P000197,1940,,-0.49,-0.206,-62.7867,0.9292,855,40,,-0.438,-0.197
115,House,15621,71,48,CA,200,0.899817851,,"ROHRABACHER, Dana",R000409,1947,,0.626,-0.417,-191.72548,0.8128,925,77,,0.609,-0.549
115,House,20104,71,28,CA,100,0.861295681,,"SCHIFF, Adam",S001150,1960,,-0.349,-0.128,-76.05639,0.92329,953,31,,-0.395,-0.075
115,House,20107,71,49,CA,200,0.948602344,,"ISSA, Darrell",I000056,1953,,0.506,-0.085,-97.21241,0.89836,907,39,,0.451,-0.099
115,House,20108,71,53,CA,100,0.862478778,,"DAVIS, Susan A.",D000598,1944,,-0.344,-0.106,-78.00825,0.91938,928,33,,-0.324,-0.287
115,House,20307,71,22,CA,200,0.963559322,,"NUNES, Devin",N000181,1973,,0.449,0.214,-68.16411,0.93041,945,24,,0.374,0.492
115,House,20310,71,38,CA,100,0.86463621,,"SÁNCHEZ, Linda T.",S001156,1969,,-0.508,-0.137,-59.13233,0.93852,932,22,,-0.539,0.104
115,House,20501,71,16,CA,100,0.733205374,,"COSTA, Jim",C001059,1952,,-0.191,0.467,-224.18617,0.76054,819,100,,-0.2,0.483
115,House,20538,71,6,CA,100,0.852348993,,"MATSUI, Doris",M001163,1944,,-0.434,-0.161,-83.51096,0.91516,942,45,,-0.403,-0.131
115,House,20702,71,9,CA,100,0.858125537,,"McNERNEY, Jerry",M001166,1951,,-0.261,-0.15,-111.5531,0.88719,932,38,,-0.303,-0.272
115,House,20703,71,23,CA,200,1,,"MCCARTHY, Kevin",M001165,1965,,0.459,0.211,-62.87447,0.93563,945,19,,0.464,0.25
115,House,20762,71,14,CA,100,0.867424242,,"SPEIER, Karen Lorraine Jacqueline (Jackie)",S001175,1950,,-0.381,-0.447,-81.31743,0.90548,819,28,,-0.358,-0.539
115,House,20903,71,4,CA,200,0.918964077,,"McCLINTOCK, Tom",M001177,1956,,0.719,-0.473,-136.53111,0.86652,953,49,,0.919,-0.395
115,House,20955,71,27,CA,100,0.862563238,,"CHU, Judy",C001080,1953,,-0.486,-0.378,-58.67262,0.9393,937,22,,-0.452,-0.719
115,House,20958,71,3,CA,100,0.851246776,,"GARAMENDI, John",G000559,1945,,-0.309,-0.095,-123.22117,0.87503,923,49,,-0.291,-0.111
115,House,20963,71,50,CA,200,0.932478632,,"HUNTER, Duncan Duane",H001048,1976,,0.539,0.085,-119.65714,0.88024,938,47,,0.527,-0.124
115,House,21109,71,10,CA,200,0.91158267,,"DENHAM, Jeff",D000612,1967,,0.306,0.212,-102.31873,0.89464,919,65,,0.238,0.535
115,House,21110,71,37,CA,100,0.838155515,,"BASS, Karen",B001270,1953,,-0.585,-0.106,-55.4037,0.93898,880,15,,-0.689,0.063
115,House,21302,71,1,CA,200,0.957555178,,"LaMALFA, Doug",L000578,1960,,0.537,0.105,-87.09593,0.91087,933,30,,0.519,0.098
115,House,21303,71,2,CA,100,0.84951881,,"HUFFMAN, Jared",H001068,1964,,-0.426,-0.544,-82.76957,0.91251,904,36,,-0.431,-0.72
115,House,21304,71,7,CA,100,0.810273405,,"BERA, Ami",B001287,1965,,-0.232,0.014,-138.34857,0.8654,957,68,,-0.259,0.187
115,House,21305,71,8,CA,200,0.956846473,,"COOK, Paul",C001094,1943,,0.376,0.204,-91.0265,0.90927,957,32,,0.348,0.155
115,House,21306,71,15,CA,100,0.835689046,,"SWALWELL, Eric",S001193,1980,,-0.368,-0.105,-107.14985,0.89006,920,51,,-0.355,-0.21
115,House,21307,71,21,CA,200,0.919831224,,"VALADAO, David G.",V000129,1977,,0.253,0.411,-80.22792,0.91869,946,55,,0.248,0.687
115,House,21308,71,26,CA,100,0.83403895,,"BROWNLEY, Julia",B001285,1952,,-0.286,0.051,-96.30837,0.90281,942,49,,-0.317,0.108
115,House,21309,71,29,CA,100,0.837168142,,"CÁRDENAS, Tony",C001097,1963,,-0.383,0.021,-98.05837,0.89677,900,33,,-0.427,0.19
115,House,21311,71,36,CA,100,0.820299501,,"RUIZ, Raul",R000599,1972,,-0.242,0.063,-130.00411,0.87273,955,59,,-0.267,0.117
115,House,21312,71,41,CA,100,0.862563238,,"TAKANO, Mark",T000472,1960,,-0.462,-0.262,-68.97285,0.92889,935,32,,-0.482,-0.59
115,House,21313,71,47,CA,100,0.846428571,,"LOWENTHAL, Alan",L000579,1941,,-0.45,-0.372,-69.26591,0.92655,908,34,,-0.478,-0.358
115,House,21314,71,51,CA,100,0.840753425,,"VARGAS, Juan",V000130,1961,,-0.399,0.104,-89.17502,0.90885,933,30,,-0.458,0.151
115,House,21315,71,52,CA,100,0.801179444,,"PETERS, Scott",P000608,1958,,-0.179,-0.047,-197.27697,0.81087,941,101,,-0.179,0.004
115,House,21504,71,11,CA,100,0.854621849,,"DESAULNIER, Mark James",D000623,1952,,-0.529,-0.359,-67.28652,0.93141,947,32,,-0.565,-0.469
