State,District,Party,Margin,Lean,Avg_Def,Minority,Nat_Margin,Year,Fresh,Calculated_C6
AZ,1,1,7.687653379,-5.6,22.993311,1,8.6,2018,1,-0.294292832
AZ,3,1,27.73092392,22.14,14.6902655,1,8.6,2018,0,-0.785860411
CA,2,1,54.01590967,40.99,15.048119,1,8.6,2018,0,0.087295474
CA,3,1,16.14589388,8.6,14.8753224,1,8.6,2018,0,-0.90653404
CA,7,1,10.08994485,4.24,18.9726595,1,8.6,2018,0,-0.866262695
CA,9,1,12.98296997,13.95,14.1874463,1,8.6,2018,0,-1.442029425
CA,11,1,48.26484234,40.22,14.5378151,1,8.6,2018,0,-0.26750675
CA,12,1,73.64636423,70.77,0,1,8.6,2018,0,#DIV/0!
CA,14,1,58.44511155,50.67,13.2575758,1,8.6,2018,0,-0.086911021
CA,15,1,45.93508767,38.05,16.4310954,1,8.6,2018,0,-0.284401448
CA,16,1,15.09034059,16.3,26.6794626,1,8.6,2018,0,-0.750586686
CA,17,1,50.69472727,45.16,14.9166667,1,8.6,2018,1,0.005628554
CA,18,1,48.98325161,43.33,12.2077922,1,8.6,2018,0,-0.44117784
CA,19,1,47.50974723,43.25,15.3389831,1,8.6,2018,0,-0.443466671
CA,24,1,17.11100407,12.74,17.5572519,1,8.6,2018,1,-0.592746404
CA,26,1,23.8840212,13.38,16.596105,1,8.6,2018,0,-0.551433773
CA,28,1,56.7440044,43.18,13.8704319,1,8.6,2018,0,0.178926685
CA,30,1,46.80317097,35,14.7280335,1,8.6,2018,0,-0.110838221
CA,31,1,17.48899971,14.87,16.9321039,1,8.6,2018,0,-0.980858693
CA,32,1,37.55669911,31,13.712047,1,8.6,2018,0,-0.585594616
CA,33,1,40.05689446,30.33,15.7989228,1,8.6,2018,0,-0.319785381
CA,35,1,38.79643547,34.18,15.3716216,1,8.6,2018,0,-0.589077637
CA,36,1,18.03311949,2.3,17.9700499,1,8.6,2018,0,-0.395673387
CA,37,1,78.15109697,70.25,16.1844485,1,8.6,2018,0,0.284651156
CA,41,1,30.19946105,22.05,13.7436762,1,8.6,2018,0,-0.655709129
CA,43,1,55.33837961,55.19,13.4135856,1,8.6,2018,0,-0.557536039
CA,46,1,38.29200357,26.9,20.9650582,1,8.6,2018,1,0.03280857
CA,47,1,29.7109973,22.69,15.3571429,1,8.6,2018,0,-0.648310025
CA,51,1,42.40190342,39.59,15.9246575,1,8.6,2018,0,-0.584198032
CA,52,1,27.6942775,11.91,19.8820556,1,8.6,2018,0,-0.215989513
CA,53,1,38.14817295,26.29,13.7521222,1,8.6,2018,0,-0.296921013
CO,1,1,50.76617626,39.96,13.7082601,1,8.6,2018,0,-0.087715854
CO,7,1,25.00724839,10.12,14.8531952,1,8.6,2018,0,-0.384181823
CT,1,1,25.58218429,22.78,15.0434783,1,8.6,2018,0,-0.940547753
CT,2,1,22.5433566,5.5,14.7058824,1,8.6,2018,0,-0.33179875
CT,3,1,24.99417183,17.26,13.2508834,1,8.6,2018,0,-0.815434401
CT,4,1,23.7804325,15.15,15.5201342,1,8.6,2018,0,-0.677572266
DE,0,1,28.90793991,12.67,14.1897565,1,8.6,2018,1,0.101467485
FL,5,1,33.56243942,22.96,18.3978873,1,8.6,2018,1,-0.067141871
FL,7,1,15.38383985,0.61,21.350211,1,8.6,2018,1,-0.163650053
FL,9,1,16.0434998,8.47,15.8069884,1,8.6,2018,1,-0.53349702
FL,13,1,15.28941133,3.65,18.9699571,1,8.6,2018,1,-0.303310315
FL,22,1,24.0473927,11.69,13.3392226,1,8.6,2018,0,-0.583579309
FL,23,1,22.49372209,21.35,11.7850953,1,8.6,2018,0,-1.376228405
GA,2,1,19.29868962,10.79,18.6106346,1,8.6,2018,0,-0.638996339
GA,4,1,57.69383918,46.67,14.1880342,1,8.6,2018,0,0.066654631
GA,13,1,52.36875975,37.26,16.6222222,1,8.6,2018,0,0.139774437
HI,2,1,54.72463797,35.35,14.5343777,1,8.6,2018,0,0.415548096
IA,2,1,12.1947634,1.32,18.1587838,1,8.6,2018,0,-0.674636183
IL,1,1,53.74488629,53.41,14.4032922,1,8.6,2018,0,-0.541831451
IL,2,1,62.11110686,57.03,13.6402387,1,8.6,2018,0,-0.147831881
IL,3,1,47.09000869,11.56,17.9775281,1,8.6,2018,0,0.853883838
IL,5,1,53.32908204,38.12,12.9471891,1,8.6,2018,0,0.206307796
IL,7,1,75.23015883,73.96,13.5545024,1,8.6,2018,0,-0.070577963
IL,8,1,31.94945391,17.02,14.084507,1,8.6,2018,1,0.098179362
IL,9,1,46.97245747,36.11,15.1211362,1,8.6,2018,0,-0.14904935
IL,10,1,31.18023665,21.38,20.3177258,1,8.6,2018,1,-0.122653361
IL,11,1,27.68160165,18.01,14.8179509,1,8.6,2018,0,-0.58388784
IL,17,1,24.18682998,5.39,16.1801501,1,8.6,2018,0,-0.195150663
IN,1,1,30.18527052,15.28,14.9484536,1,8.6,2018,0,-0.28121795
IN,7,1,29.72573025,22.72,14.7359455,1,8.6,2018,0,-0.676090024
KY,3,1,25.49942595,10.39,13.6869119,1,8.6,2018,0,-0.395010291
MA,2,1,34.37817005,16.47,14.3333333,1,8.6,2018,0,-0.059896113
MA,5,1,51.83892022,34.59,15.0337838,1,8.6,2018,0,0.245803936
MA,6,1,33.80642264,11.63,14.6859083,1,8.6,2018,0,0.137361176
MA,9,1,18.79553481,8.85,16.1434978,1,8.6,2018,0,-0.682220193
MD,2,1,35.3013399,21.59,16.0472973,1,8.6,2018,0,-0.223234918
MD,3,1,40.84710462,23.09,14.0116764,1,8.6,2018,0,0.063875127
MD,4,1,58.19988607,53.38,13.3967156,1,8.6,2018,1,0.129435611
MD,5,1,43.20549359,28.75,13.4948097,1,8.6,2018,0,-0.057668943
MD,7,1,55.18454157,51.07,12.8841608,1,8.6,2018,0,-0.364611984
MD,8,1,37.940062,26.78,14.7623019,1,8.6,2018,1,0.028543516
ME,1,1,26.31375839,14.8,13.2027257,1,8.6,2018,0,-0.585741292
MI,5,1,23.6012778,10.7,13.5946622,1,8.6,2018,0,-0.553557866
MI,9,1,22.8560265,8.43,14.1791045,1,8.6,2018,0,-0.469265354
MI,12,1,39.19281263,26.61,13.5564854,1,8.6,2018,0,-0.240961449
MI,14,1,63.56181649,58.53,14.1405588,1,8.6,2018,0,-0.115568453
MN,4,1,36.24860779,25.31,13.9028476,1,8.6,2018,0,-0.38012394
MN,7,1,4.264162069,-22.66,32.5520833,1,8.6,2018,0,-0.095238756
MO,1,1,63.38551253,56.08,14.1493056,1,8.6,2018,0,-0.004620119
MO,5,1,26.05845975,13.98,13.7622878,1,8.6,2018,0,-0.538035126
NC,1,1,39.69524159,32.93,12.8521127,1,8.6,2018,0,-0.565346537
NC,4,1,48.33437316,31.95,13.6248949,1,8.6,2018,0,0.152022322
NC,12,1,46.14563406,34.63,13.2489451,1,8.6,2018,0,-0.152949154
NH,2,1,13.35978978,3.03,16.6380789,1,8.6,2018,0,-0.739483164
NJ,1,1,31.13340774,24.08,15.7850546,1,8.6,2018,0,-0.603347692
NJ,5,1,13.68053462,-5.51,25.229741,1,8.6,2018,1,-0.033214466
NJ,6,1,27.26508285,14.92,15.1741294,1,8.6,2018,0,-0.452581692
NJ,8,1,59.40243068,50.13,14.9653979,1,8.6,2018,0,0.012678024
NJ,9,1,41.40288201,28.98,13.4745763,1,8.6,2018,0,-0.203692638
NJ,10,1,77.46941182,69.52,14.6690519,1,8.6,2018,0,0.303033614
NJ,12,1,37.36225854,29.65,16.0639193,1,8.6,2018,0,-0.452102399
NV,1,1,35.30134493,27.1,13.8790036,1,8.6,2018,0,-0.540895102
NY,3,1,19.17944148,1.77,19.4067797,1,8.6,2018,1,-0.027033312
NY,4,1,25.52669808,7.39,16.2891986,1,8.6,2018,0,-0.199045945
NY,9,1,73.03353111,66.14,15.9013605,1,8.6,2018,0,0.151993857
NY,10,1,60.88368301,51.27,12.9848229,1,8.6,2018,0,0.06615123
NY,12,1,69.6419284,60.06,14.2364107,1,8.6,2018,0,0.235739926
NY,13,1,84.85379258,84.19,15.2046784,1,8.6,2018,1,0.423682462
NY,15,1,90.51259721,86.9,14.5590682,1,8.6,2018,0,0.350889709
NY,18,1,11.92856291,-2.32,17.9333903,1,8.6,2018,0,-0.553381202
NY,20,1,27.16849489,12.81,15.5258765,1,8.6,2018,0,-0.351746203
NY,25,1,20.96734785,14.16,6.0240964,1,8.6,2018,1,-1.255311943
NY,26,1,41.39372158,20.62,14.2369991,1,8.6,2018,0,0.224836397
OH,3,1,47.24193986,35,14.6596859,1,8.6,2018,0,-0.081424673
OH,9,1,35.59113035,25.49,13.9005897,1,8.6,2018,0,-0.436707851
OH,11,1,64.49054496,60.91,15.4639175,1,8.6,2018,0,-0.155248373
OH,13,1,21.98989537,13.14,14.9122807,1,8.6,2018,0,-0.72925308
OR,1,1,31.59045173,17.31,14,1,8.6,2018,0,-0.303182948
OR,3,1,52.77602868,44.35,15.3778559,1,8.6,2018,0,-0.150838734
OR,4,1,15.0970922,0.7,16.4230439,1,8.6,2018,0,-0.542324423
OR,5,1,13.19500431,1.22,22.9184549,1,8.6,2018,0,-0.487777284
RI,1,1,33.62304188,26.3,12.9411765,1,8.6,2018,0,-0.665746898
RI,2,1,27.2117552,10.66,14.5500421,1,8.6,2018,0,-0.267110073
SC,6,1,41.89398013,35.67,13.8269402,1,8.6,2018,0,-0.507622133
TN,5,1,35.69369452,12.75,20.3996669,1,8.6,2018,0,0.15229511
TN,9,1,60.74522251,53.34,15.2373022,1,8.6,2018,0,-0.049481167
TX,15,1,20.91661509,12.46,21.0571185,1,8.6,2018,1,-0.304027491
TX,18,1,54.43222012,51.38,15.9284497,1,8.6,2018,0,-0.356020453
TX,33,1,54.25501577,42.01,17.278798,1,8.6,2018,0,0.047815408
TX,34,1,19.9779126,18.04,19.9300699,1,8.6,2018,0,-0.821727143
TX,35,1,45.20346066,27.26,13.372582,1,8.6,2018,0,0.170577579
VA,4,1,26.65830704,17.88,12.5748503,1,8.6,2018,1,-0.359520539
VA,8,1,52.42156996,40.38,16.173913,1,8.6,2018,0,0.00950889
VA,11,1,44.17453366,28.34,16.263553,1,8.6,2018,0,0.029689186
VT,0,1,43.25254816,27.72,13.7668919,1,8.6,2018,0,0.000181026
WA,1,1,18.53532606,10.61,14.9377593,1,8.6,2018,0,-0.838631597
WA,6,1,27.77341018,10.18,16.3485477,1,8.6,2018,0,-0.182456808
WA,7,1,67.1223089,62.1,15.7094595,1,8.6,2018,1,0.282961925
WA,10,1,23.0880311,9.84,14.7717842,1,8.6,2018,0,-0.502722
WI,3,1,19.33654826,1.45,20.3953279,1,8.6,2018,0,-0.255028346
WI,4,1,53.97400828,47.85,15.459364,1,8.6,2018,0,-0.233816004
AK,0,0,6.584776337,19.81,10.0429185,0,-8.6,2018,0,-1.260767641
AL,1,0,26.37984972,30.16,3.7531276,0,-8.6,2018,0,-0.063685092
AL,2,0,22.96247182,33.46,4.3589744,0,-8.6,2018,0,-1.378073287
AL,3,0,27.49886812,33.01,7.2268908,0,-8.6,2018,0,-0.1591355
AL,4,0,59.64566673,59.96,3.8893691,0,-8.6,2018,0,3.033977602
AL,5,0,22.12542151,34.32,11.0521662,0,-8.6,2018,0,-0.674674481
AL,6,0,38.40720301,50.71,6.795302,0,-8.6,2018,0,-0.419323525
AR,1,0,40.17491118,32.23,3.2506416,0,-8.6,2018,0,3.716676172
