year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,runoff,special,candidate,party,writein,mode,candidatevotes,totalvotes,unofficial,version
2018,Alabama,AL,1,63,41,US House,1,gen,NA,FALSE,Robert Kennedy Jr.,democrat,FALSE,total,89226,242617,FALSE,20200424
2018,Alabama,AL,1,63,41,US House,2,gen,NA,FALSE,Tabitha Isner,democrat,FALSE,total,86931,226230,FALSE,20200424
2018,Alabama,AL,1,63,41,US House,3,gen,NA,FALSE,Mallory Hagan,democrat,FALSE,total,83996,231915,FALSE,20200424
2018,Alabama,AL,1,63,41,US House,4,gen,NA,FALSE,Lee Auman,democrat,FALSE,total,46492,230969,FALSE,20200424
2018,Alabama,AL,1,63,41,US House,5,gen,NA,FALSE,Peter Joffrion,democrat,FALSE,total,101388,260673,FALSE,20200424
2018,Alabama,AL,1,63,41,US House,6,gen,NA,FALSE,Danner Kline,democrat,FALSE,total,85644,278328,FALSE,20200424
2018,Alabama,AL,1,63,41,US House,7,gen,NA,FALSE,Terri Sewell,democrat,FALSE,total,185010,189163,FALSE,20200424
2018,Alaska,AK,2,94,81,US House,0,gen,NA,FALSE,Alyse S. Galvin,democrat,FALSE,total,131199,282166,FALSE,20200424
2018,Arizona,AZ,4,86,61,US House,1,gen,NA,FALSE,Tom O'Halleran,democrat,FALSE,total,143240,266089,FALSE,20200424
2018,Arizona,AZ,4,86,61,US House,2,gen,NA,FALSE,Ann Kirkpatrick,democrat,FALSE,total,161000,294152,FALSE,20200424
2018,Arizona,AZ,4,86,61,US House,3,gen,NA,FALSE,Raul Grijalva,democrat,FALSE,total,114650,179518,FALSE,20200424
2018,Arizona,AZ,4,86,61,US House,4,gen,NA,FALSE,David Brill,democrat,FALSE,total,84521,277035,FALSE,20200424
2018,Arizona,AZ,4,86,61,US House,5,gen,NA,FALSE,Joan Greene,democrat,FALSE,total,127027,313064,FALSE,20200424
2018,Arizona,AZ,4,86,61,US House,6,gen,NA,FALSE,Anita Malik,democrat,FALSE,total,140559,313699,FALSE,20200424
2018,Arizona,AZ,4,86,61,US House,7,gen,NA,FALSE,Ruben Gallego,democrat,FALSE,total,113044,132051,FALSE,20200424
2018,Arizona,AZ,4,86,61,US House,8,gen,NA,FALSE,Hiral Tipirneni,democrat,FALSE,total,135569,304417,FALSE,20200424
2018,Arizona,AZ,4,86,61,US House,9,gen,NA,FALSE,Greg Stanton,democrat,FALSE,total,159583,261245,FALSE,20200424
2018,Arkansas,AR,5,71,42,US House,1,gen,NA,FALSE,Chintan Desai,democrat,FALSE,total,57907,201245,FALSE,20200424
2018,Arkansas,AR,5,71,42,US House,2,gen,NA,FALSE,Clarke Tucker,democrat,FALSE,total,116135,253453,FALSE,20200424
2018,Arkansas,AR,5,71,42,US House,3,gen,NA,FALSE,Josh Mahony,democrat,FALSE,total,74952,229708,FALSE,20200424
2018,Arkansas,AR,5,71,42,US House,4,gen,NA,FALSE,Hayden Catherine Shamel,democrat,FALSE,total,63984,204892,FALSE,20200424
2018,California,CA,6,93,71,US House,1,gen,NA,FALSE,Audrey Denney,democrat,FALSE,total,131548,291594,FALSE,20200424
2018,California,CA,6,93,71,US House,2,gen,NA,FALSE,Jared Huffman,democrat,FALSE,total,243081,315657,FALSE,20200424
2018,California,CA,6,93,71,US House,3,gen,NA,FALSE,John Garamendi,democrat,FALSE,total,134875,232251,FALSE,20200424
2018,California,CA,6,93,71,US House,4,gen,NA,FALSE,Jessica Morse,democrat,FALSE,total,156253,340654,FALSE,20200424
2018,California,CA,6,93,71,US House,5,gen,NA,FALSE,Mike Thompson,democrat,FALSE,total,205860,261018,FALSE,20200424
2018,California,CA,6,93,71,US House,6,gen,NA,FALSE,Doris Matsui,democrat,FALSE,total,162411,201939,FALSE,20200424
2018,California,CA,6,93,71,US House,6,gen,NA,FALSE,Jrmar Jefferson,democrat,FALSE,total,39528,201939,FALSE,20200424
2018,California,CA,6,93,71,US House,7,gen,NA,FALSE,Ami Bera,democrat,FALSE,total,155016,281617,FALSE,20200424
2018,California,CA,6,93,71,US House,9,gen,NA,FALSE,Jerry McNerney,democrat,FALSE,total,113414,200763,FALSE,20200424
2018,California,CA,6,93,71,US House,10,gen,NA,FALSE,Josh Harder,democrat,FALSE,total,115945,221900,FALSE,20200424
2018,California,CA,6,93,71,US House,11,gen,NA,FALSE,Mark DeSaulnier,democrat,FALSE,total,204369,275681,FALSE,20200424
2018,California,CA,6,93,71,US House,12,gen,NA,FALSE,Nancy Pelosi,democrat,FALSE,total,275292,317072,FALSE,20200424
2018,California,CA,6,93,71,US House,13,gen,NA,FALSE,Barbara Lee,democrat,FALSE,total,260580,294837,FALSE,20200424
