State,District,Party,Average,Margin
AZ,4,1,0.956545655,50.86195118
AZ,5,1,0.869281046,9.583221871
AZ,7,1,0.953724605,30.47447949
AZ,8,1,0.899558499,11.90376097
CA,1,1,0.943231441,44.74062905
CA,5,1,0.963282937,53.46476453
CA,6,1,0.942941176,47.63330233
CA,7,1,0.954123113,51.02631052
CA,8,1,0.97740113,62.18540423
CA,10,1,0.967479675,33.99759457
CA,11,1,0.921866522,10.54916402
CA,12,1,0.96728972,56.65441273
CA,13,1,0.919287834,52.86059851
CA,14,1,0.960655738,47.54661505
CA,15,1,0.953089245,48.40457858
CA,16,1,0.956593407,47.28165317
CA,17,1,0.96597146,48.05665147
CA,20,1,0.942264574,48.66910125
CA,23,1,0.962682531,36.14866475
CA,27,1,0.957135106,43.6770268
CA,29,1,0.962540717,42.17465495
CA,33,1,0.952861953,75.13726225
CA,34,1,0.958220293,54.18920082
CA,35,1,0.936280138,69.34477678
CA,36,1,0.948394495,37.28876487
CA,43,1,0.964088398,38.28742232
CA,47,1,0.957930642,44.05586484
CA,51,1,0.940133038,48.53967865
CA,53,1,0.969088937,41.03599358
CO,1,1,0.961516695,48.15955036
CO,3,1,0.949945593,23.22503081
CO,7,1,0.94983462,26.96342149
CT,1,1,0.965947787,39.80044458
CT,2,1,0.95631068,29.22539244
CT,3,1,0.967671233,49.15727314
CT,5,1,0.952277657,14.29472968
FL,2,1,0.933442444,23.80361164
FL,11,1,0.960871996,43.31162841
FL,16,1,0.912328767,-20.18657283
FL,19,1,0.960923623,38.91960423
FL,22,1,0.952876712,9.360150865
FL,23,1,0.963491158,64.38427815
GA,2,1,0.961926092,37.89787019
GA,8,1,0.849827388,14.48739838
GA,12,1,0.827267789,32.00072192
GA,13,1,0.963043478,38.08992117
HI,1,1,0.937785388,53.1478616
HI,2,1,0.958695652,51.0554223
IL,1,1,0.95133438,71.73071184
IL,2,1,0.960857909,78.82831866
IL,3,1,0.943801653,51.90341536
IL,4,1,0.955891619,69.1266851
IL,5,1,0.971650917,51.90608596
IL,7,1,0.954878737,70.03507733
IL,8,1,0.887955182,21.44082565
IL,9,1,0.952329361,52.67056226
IL,12,1,0.930898876,46.45131648
IL,14,1,0.938380282,15.49600227
